# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000     0.015707963       933.62352   0.00018331655
3.000     0.031415927       2392.4095    0.0037579881
3.000     0.047123890       1274.0922    0.0067545204
3.000     0.062831853       1016.4919     0.012773614
3.000     0.078539816       770.92070     0.018921241
3.000     0.094247780       630.82529     0.026754247
3.000      0.10995574       516.28656     0.034770812
3.000      0.12566371       444.22803     0.044658673
3.000      0.14137167       322.16479     0.046114287
3.000      0.15707963       291.33807     0.057204096
3.000      0.17278760       252.22971     0.065918024
3.000      0.18849556       223.76482     0.075921616
3.000      0.20420352       198.17670     0.085489455
3.000      0.21991149       179.38114     0.096647532
3.000      0.23561945       155.86349      0.10328757
3.000      0.25132741       141.94304      0.11415737
3.000      0.26703538       122.73053      0.11839388
3.000      0.28274334       111.14005      0.12726764
3.000      0.29845130       99.649832      0.13420456
3.000      0.31415927       89.552554      0.14066882
3.000      0.32986723       82.267828      0.14959525
3.000      0.34557519       74.451774      0.15565855
3.000      0.36128316       70.268662      0.16787077
3.000      0.37699112       63.458111      0.17224664
3.000      0.39269908       59.345487      0.18206967
3.000      0.40840704       56.319905      0.19436222
3.000      0.42411501       52.104803      0.20137193
3.000      0.43982297       49.100040      0.21163419
3.000      0.45553093       45.408661      0.21745158
3.000      0.47123890       43.006218      0.22799478
3.000      0.48694686       39.514460      0.23113782
3.000      0.50265482       37.888272      0.24377245
3.000      0.51836279       35.549296      0.25084342
3.000      0.53407075       33.843452      0.26118083
3.000      0.54977871       32.188030      0.27097450
3.000      0.56548668       30.954294      0.28356870
3.000      0.58119464       28.909356      0.28752359
3.000      0.59690260       27.449747      0.29574610
3.000      0.61261057       26.187371      0.30501108
3.000      0.62831853       24.890541      0.31278377
3.000      0.64402649       23.737395      0.32122883
3.000      0.65973446       22.423893      0.32620362
3.000      0.67544242       21.914058      0.34210392
3.000      0.69115038       21.018146      0.35154613
3.000      0.70685835       20.442504      0.36576448
3.000      0.72256631       19.056660      0.36420857
3.000      0.73827427       18.720334      0.38162521
3.000      0.75398224       17.926103      0.38925974
3.000      0.76969020       17.464518      0.40343609
