# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000       6.4088490      0.67364982       8.9834794
3.000       6.5345127      0.65832501       9.3057254
3.000       6.6601764      0.63336136       9.4793601
3.000       6.7858401      0.62688839       9.9236482
3.000       6.9115038      0.61307894       10.254260
3.000       7.0371675      0.60594700       10.697901
3.000       7.1628313      0.58239237       10.842766
3.000       7.2884950      0.57359009       11.250853
3.000       7.4141587      0.54439103       11.240014
3.000       7.5398224      0.53648741       11.649657
3.000       7.6654861      0.52327622       11.940441
3.000       7.7911498      0.51445575       12.326022
3.000       7.9168135      0.50632622       12.727758
3.000       8.0424772      0.48903143       12.887733
3.000       8.2938046      0.47851928       13.830284
3.000       8.5451320      0.44646434       14.112806
3.000       8.7964594      0.42635565       14.701647
3.000       9.0477868      0.42082418       15.790578
3.000       9.2991143      0.39692601       16.169797
3.000       9.5504417      0.39163192       17.282983
3.000       9.8017691      0.37743912       18.006552
3.000       10.053096      0.36421651       18.746899
3.000       10.304424      0.35094321       19.452627
3.000       10.555751      0.33977131       20.245309
3.000       10.807079      0.33599017       21.484328
3.000       11.058406      0.32772247       22.451951
3.000       11.309734      0.31206636       22.870430
3.000       11.561061      0.30681047       24.017816
3.000       11.812388      0.30581799       25.535622
3.000       12.063716      0.28923108       25.725185
3.000       12.315043      0.28333376       26.808740
3.000       12.566371      0.27485419       27.631357
3.000       12.817698      0.26461993       28.230783
3.000       13.069025      0.25801123       29.176855
3.000       13.320353      0.25565854       30.611016
3.000       13.571680      0.24924659       31.564604
3.000       13.823008      0.24628094       32.954043
3.000       14.074335      0.23531088       33.235018
3.000       14.325663      0.23011321       34.273303
3.000       14.576990      0.22446265       35.222316
3.000       14.828317      0.21945000       36.247784
3.000       15.079645      0.21154203       36.748554
3.000       15.330972      0.21019174       38.370282
3.000       15.582300      0.20322105       38.952345
3.000       15.833627      0.19591405       39.398263
3.000       16.084954      0.19361163       40.818892
3.000       16.587609      0.17852945       41.279222
3.000       17.090264      0.17721265       44.813751
3.000       17.592919      0.16790225       46.317005
3.000       18.095574      0.16396242       49.218872
3.000       18.598229      0.15583294       50.786029
3.000       19.100883      0.15039973       53.097941
3.000       19.603538      0.14164502       54.059865
3.000       20.106193      0.14437104       59.448359
3.000       20.608848      0.13609754       60.350612
3.000       21.111503      0.13098891       62.439905
3.000       21.614157      0.12439882       63.635794
3.000       22.116812      0.12052204       66.054792
3.000       22.619467      0.11891200       69.717700
3.000       23.122122      0.11275632       70.614553
3.000       23.624777      0.10980067       73.346332
3.000       24.127432      0.10578774       75.272937
3.000       24.630086      0.10290059       77.890759
3.000       25.132741     0.098925103       79.560289
3.000       25.635396     0.097889636       83.546270
3.000       26.138051     0.094507813       85.498318
3.000       26.640706     0.090629922       86.811856
3.000       27.143361     0.088523594       89.685068
