# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000       26.640706     0.034291020       32.846405
3.000       27.143361     0.032714502       33.143733
3.000       27.646015     0.032158278       34.423949
3.000       28.148670     0.030786158       34.785592
3.000       28.651325     0.030046597       35.801373
3.000       29.153980     0.029339549       36.831316
3.000       29.656635     0.028534534       37.705669
3.000       30.159289     0.027542748       38.277260
3.000       30.661944     0.026577835       38.814047
3.000       31.164599     0.025848046       39.635342
3.000       31.667254     0.025051624       40.302998
3.000       32.169909     0.024596742       41.485596
3.000       33.175218     0.023089288       42.709272
3.000       34.180528     0.022283986       45.081611
3.000       35.185838     0.021322780       47.056299
3.000       36.191147     0.019338120       46.439930
3.000       37.196457     0.019077639       49.739294
3.000       38.201767     0.018040305       50.952379
3.000       39.207076     0.017082838       52.158327
3.000       40.212386     0.016529755       54.452298
3.000       41.217696     0.015578579       55.264879
3.000       42.223005     0.015035769       57.338102
3.000       43.228315     0.014900267       60.977446
3.000       44.233625     0.013902171       60.955161
3.000       45.238934     0.013298535       62.375084
3.000       46.244244     0.012765904       63.958000
3.000       47.249554     0.012684530       67.785648
3.000       48.254863     0.012080623       68.767439
3.000       49.260173     0.011887976       71.988972
3.000       50.265482     0.011400242       73.348948
3.000       51.270792     0.010646864       72.694586
3.000       52.276102     0.010657202       77.129947
3.000       53.281411     0.010267149       78.676912
3.000       54.286721    0.0098342967       79.706621
3.000       55.292031    0.0095758526       82.004056
3.000       56.297340    0.0094058995       85.022570
3.000       57.302650    0.0089597760       85.406619
3.000       58.307960    0.0084911097       85.274316
3.000       59.313269    0.0086624232       91.572537
3.000       60.318579    0.0083646869       92.997924
3.000       61.323889    0.0079327214       92.679038
3.000       62.329198    0.0078201096       95.930724
3.000       63.334508    0.0075591159       97.288715
3.000       64.339818    0.0073623814       99.340890
3.000       66.350437    0.0069838127       103.34613
3.000       68.361056    0.0067316974       108.94847
3.000       70.371675    0.0063984685       112.96397
3.000       72.382295    0.0059784592       114.85676
3.000       74.392914    0.0058166037       121.32057
3.000       76.403533    0.0055127246       124.55951
3.000       78.414153    0.0051317210       125.34778
3.000       80.424772    0.0050872114       134.06628
3.000       82.435391    0.0047758051       135.53703
3.000       84.446011    0.0045387756       138.46703
3.000       86.456630    0.0043982652       143.99473
3.000       88.467249    0.0042439042       148.86185
3.000       90.477868    0.0041144368       154.38594
3.000       92.488488    0.0038838394       155.66628
3.000       94.499107    0.0037001713       158.18861
3.000       96.509726    0.0035516308       161.73772
3.000       98.520346    0.0034352970       166.42261
3.000       100.53096    0.0033304479       171.42433
3.000       102.54158    0.0032522056       177.64309
3.000       104.55220    0.0029927339       173.27581
3.000       106.56282    0.0029279859       179.49667
3.000       108.57344    0.0028964666       187.80606
3.000       110.58406    0.0029231496       200.26217
3.000       112.59468    0.0027108981       196.03656
3.000       114.60530    0.0025762808       196.46155
3.000       116.61592    0.0026239872       210.81694
3.000       118.62654    0.0025119760       212.43757
3.000       120.63716    0.0023777997       211.48951
3.000       122.64778    0.0023867957       223.08201
3.000       124.65840    0.0022052815       216.42075
3.000       126.66902    0.0022095008       227.49697
3.000       128.67964    0.0021443399       231.46928
3.000       132.70087    0.0020066416       237.55349
3.000       136.72211    0.0018582221       240.59364
3.000       140.74335    0.0017995680       254.16876
3.000       144.76459    0.0019022521       292.36499
3.000       148.78583    0.0016581836       276.68625
3.000       152.80707    0.0015937626       288.08737
3.000       156.82831    0.0015983943       312.33994
3.000       160.84954    0.0014820061       312.44944
3.000       164.87078    0.0013120395       297.88475
3.000       168.89202    0.0012229717       298.47920
3.000       172.91326    0.0012365698       323.87229
3.000       176.93450    0.0011459305       321.56303
3.000       180.95574    0.0011277275       338.52558
3.000       184.97698    0.0010484233       336.17078
3.000       188.99821    0.0010611500       362.92772
3.000       193.01945   0.00096012149       349.78380
3.000       197.04069   0.00095518235       370.18969
3.000       201.06193   0.00091405729       376.38579
3.000       205.08317   0.00094311866       412.12281
3.000       209.10441   0.00084812910       392.84550
3.000       213.12565   0.00079390412       389.35473
3.000       217.14688   0.00075766707       393.01532
3.000       221.16812   0.00066919826       366.76903
3.000       225.18936   0.00064188805       371.34122
3.000       229.21060   0.00072456735       442.03139
3.000       233.23184   0.00060855767       391.14295
3.000       237.25308   0.00059262230       400.94408
3.000       241.27432   0.00060643177       431.50465
3.000       245.29555   0.00053584608       400.66310
3.000       249.31679   0.00053155286       417.32203
3.000       253.33803   0.00045637140       375.91517
3.000       257.35927   0.00043017875       371.48276
3.000       265.40175   0.00034247817       324.35044
3.000       273.44422   0.00042621738       441.47659
3.000       281.48670   0.00044794419       506.13668
3.000       289.52918   0.00041847286       514.53459
3.000       297.57166   0.00038148230       509.23628
3.000       305.61413   0.00045583851       659.17628
3.000       313.65661   0.00024770846       387.23485
3.000       321.69909   0.00031571776       532.49895
3.000       329.74156   0.00026541320       482.07416
3.000       337.78404   0.00024570796       479.74104
3.000       345.82652   0.00023468892       491.74248
3.000       353.86900   0.00030024968       674.03174
3.000       361.91147   0.00024833322       596.36498
3.000       369.95395   0.00016502888       423.32431
3.000       377.99643   0.00015184085       415.45306
