# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000       6.4088490      0.71669727       9.5575401
3.000       6.5345127      0.69815295       9.8687117
3.000       6.6601764      0.66919384       10.015656
3.000       6.7858401      0.66528361       10.531445
3.000       6.9115038      0.64876384       10.851120
3.000       7.0371675      0.62893361       11.103726
3.000       7.1628313      0.60939102       11.345417
3.000       7.2884950      0.59662090       11.702598
3.000       7.4141587      0.56666035       11.699807
3.000       7.5398224      0.56016103       12.163722
3.000       7.6654861      0.53734630       12.261501
3.000       7.7911498      0.53260692       12.760912
3.000       7.9168135      0.52394678       13.170694
3.000       8.0424772      0.50561769       13.324841
3.000       8.2938046      0.48836185       14.114756
3.000       8.5451320      0.45360784       14.338613
3.000       8.7964594      0.43132581       14.873029
3.000       9.0477868      0.42733698       16.034957
3.000       9.2991143      0.40616055       16.545990
3.000       9.5504417      0.38928561       17.179439
3.000       9.8017691      0.37171193       17.733325
3.000       10.053096      0.35307872       18.173616
3.000       10.304424      0.33994751       18.843140
3.000       10.555751      0.32363640       19.283909
3.000       10.807079      0.31901646       20.398973
3.000       11.058406      0.31160536       21.347783
3.000       11.309734      0.29492122       21.613913
3.000       11.561061      0.28660395       22.436004
3.000       11.812388      0.28132066       23.490109
3.000       12.063716      0.26677312       23.727698
3.000       12.315043      0.25648011       24.267876
3.000       12.566371      0.24583303       24.713832
3.000       12.817698      0.23414113       24.979174
3.000       13.069025      0.22774069       25.753752
3.000       13.320353      0.22366186       26.779926
3.000       13.571680      0.21861714       27.685688
3.000       13.823008      0.20941222       28.020760
3.000       14.074335      0.19949497       28.176424
3.000       14.325663      0.19530473       29.088891
3.000       14.576990      0.18944093       29.726765
3.000       14.828317      0.18022514       29.768794
3.000       15.079645      0.17809285       30.937846
3.000       15.330972      0.17239916       31.471287
3.000       15.582300      0.16657541       31.928301
3.000       15.833627      0.15792623       31.758922
3.000       16.084954      0.15631208       32.955075
3.000       16.587609      0.14471494       33.460700
3.000       17.090264      0.13716557       34.686596
3.000       17.592919      0.12940508       35.697294
3.000       18.095574      0.12589747       37.792387
3.000       18.598229      0.11678289       38.059600
3.000       19.100883      0.10766691       38.011312
3.000       19.603538      0.10437313       39.834772
3.000       20.106193      0.10121408       41.677409
3.000       20.608848     0.093591640       41.501945
3.000       21.111503     0.092701465       44.189012
3.000       21.614157     0.086563116       44.281067
3.000       22.116812     0.082363872       45.141357
3.000       22.619467     0.078364423       45.944794
3.000       23.122122     0.076894117       48.155560
3.000       23.624777     0.072271102       48.276756
3.000       24.127432     0.069402293       49.382987
3.000       24.630086     0.067124244       50.809799
3.000       25.132741     0.066403588       53.404934
3.000       25.635396     0.063231613       53.966545
3.000       26.138051     0.059368448       53.708813
3.000       26.640706     0.056634121       54.248234
3.000       27.143361     0.055352413       56.078665
3.000       27.646015     0.053088260       56.828525
3.000       28.148670     0.051639248       58.347710
3.000       28.651325     0.049071658       58.470273
3.000       29.153980     0.048566150       60.967373
3.000       29.656635     0.046449963       61.379201
3.000       30.159289     0.045008457       62.550056
3.000       30.661944     0.044204859       64.556406
3.000       31.164599     0.042797023       65.624870
3.000       31.667254     0.040980684       65.929636
3.000       32.169909     0.040111384       67.653052
3.000       33.175218     0.039042836       72.219252
3.000       34.180528     0.034172771       69.133216
3.000       35.185838     0.034824098       76.851760
3.000       36.191147     0.032541575       78.147643
3.000       37.196457     0.031009422       80.847882
3.000       38.201767     0.029888557       84.416151
3.000       39.207076     0.029357118       89.634883
3.000       40.212386     0.027863746       91.788716
3.000       41.217696     0.025679817       91.098937
3.000       42.223005     0.025323600       96.570200
3.000       43.228315     0.025525426       104.45956
3.000       44.233625     0.024732233       108.44042
3.000       45.238934     0.023133152       108.50310
3.000       46.244244     0.022273986       111.59410
3.000       47.249554     0.022689796       121.25341
3.000       48.254863     0.021132457       120.29387
3.000       49.260173     0.022118152       133.93895
3.000       50.265482     0.021114707       135.85164
3.000       51.270792     0.020646031       140.96682
3.000       52.276102     0.020180985       146.05694
3.000       53.281411     0.019339675       148.19945
3.000       54.286721     0.019360409       156.91542
3.000       55.292031     0.018632617       159.56283
3.000       56.297340     0.018784935       169.80231
3.000       57.302650     0.017419307       166.04479
3.000       58.307960     0.017496988       175.71834
3.000       59.313269     0.018062366       190.94157
3.000       60.318579     0.017417379       193.64504
3.000       61.323889     0.017130555       200.13855
3.000       62.329198     0.016853914       206.75007
