# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
0.125       30.661944      0.72091267       1052.8148
0.125       31.164599      0.69730168       1069.2410
0.125       31.667254      0.68310524       1098.9782
0.125       32.169909      0.66050460       1114.0267
0.125       33.175218      0.61914022       1145.2509
0.125       34.180528      0.58476560       1183.0099
0.125       35.185838      0.53912753       1189.7767
0.125       36.191147      0.53147821       1276.3294
0.125       37.196457      0.49641420       1294.2530
0.125       38.201767      0.47525859       1342.3031
0.125       39.207076      0.44820046       1368.4720
0.125       40.212386      0.43458448       1431.6076
0.125       41.217696      0.40779834       1446.6612
0.125       42.223005      0.39268338       1497.4772
0.125       43.228315      0.37713250       1543.3668
0.125       44.233625      0.36161664       1585.5365
0.125       45.238934      0.33928908       1591.3922
0.125       46.244244      0.33541979       1680.4747
0.125       47.249554      0.32000901       1710.1161
0.125       48.254863      0.30242902       1721.5395
0.125       49.260173      0.29350286       1777.3395
0.125       50.265482      0.28637551       1842.5348
0.125       51.270792      0.27631162       1886.5985
0.125       52.276102      0.26483711       1916.7201
0.125       53.281411      0.25664577       1966.6701
0.125       54.286721      0.24415255       1978.8477
0.125       55.292031      0.24013792       2056.4523
0.125       56.297340      0.23373699       2112.8143
0.125       57.302650      0.22465019       2141.4167
0.125       58.307960      0.21598907       2169.1299
0.125       59.313269      0.20972753       2217.0797
0.125       60.318579      0.20478100       2276.7389
0.125       61.323889      0.19806916       2314.0683
0.125       62.329198      0.19378312       2377.1732
0.125       63.334508      0.18880349       2429.9732
0.125       64.339818      0.18494623       2495.4864
0.125       66.350437      0.17437067       2580.3289
0.125       68.361056      0.16834314       2724.5323
0.125       70.371675      0.15913069       2809.4277
0.125       72.382295      0.15110317       2902.9587
0.125       74.392914      0.14216587       2965.2433
0.125       76.403533      0.13630130       3079.7155
0.125       78.414153      0.13254213       3237.4836
0.125       80.424772      0.12509064       3296.5874
0.125       82.435391      0.12143176       3446.2252
0.125       84.446011      0.11736666       3580.5720
0.125       86.456630      0.11316925       3705.0461
0.125       88.467249      0.10801596       3788.8356
0.125       90.477868      0.10280155       3857.4208
0.125       92.488488      0.10199361       4087.9564
0.125       94.499107     0.097796953       4180.9858
0.125       96.509726     0.094660614       4310.7499
0.125       98.520346     0.091402022       4427.9615
0.125       100.53096     0.090339148       4649.9234
0.125       102.54158     0.085812913       4687.3024
0.125       104.55220     0.083520255       4835.7255
0.125       106.56282     0.081271168       4982.2316
0.125       108.57344     0.077768233       5042.4698
0.125       110.58406     0.074801406       5124.5723
0.125       112.59468     0.074691296       5401.2449
0.125       114.60530     0.071403512       5445.0759
0.125       116.61592     0.069275126       5565.7168
0.125       118.62654     0.068003548       5751.0534
0.125       120.63716     0.066921877       5952.2569
0.125       122.64778     0.064737104       6050.6575
0.125       124.65840     0.062913715       6174.1930
0.125       126.66902     0.061175911       6298.8591
0.125       128.67964     0.060209659       6499.2896
0.125       132.70087     0.058866778       6968.8621
0.125       136.72211     0.055615852       7200.8727
0.125       140.74335     0.051877930       7327.1749
0.125       144.76459     0.051099721       7853.7273
0.125       148.78583     0.048929566       8164.4385
0.125       152.80707     0.046391566       8385.7056
0.125       156.82831     0.044204530       8637.9441
0.125       160.84954     0.043326298       9134.4276
0.125       164.87078     0.042184240       9577.4873
0.125       168.89202     0.040434598       9868.4920
0.125       172.91326     0.038841892       10173.152
0.125       176.93450     0.038105139       10692.798
0.125       180.95574     0.036906194       11078.644
0.125       184.97698     0.035551344       11399.329
0.125       188.99821     0.033950368       11611.487
0.125       193.01945     0.033315239       12137.142
0.125       197.04069     0.032174851       12469.659
0.125       201.06193     0.031318367       12896.115
0.125       205.08317     0.030795029       13456.773
0.125       209.10441     0.029787376       13797.235
0.125       213.12565     0.028900234       14173.554
0.125       217.14688     0.027779364       14409.648
0.125       221.16812     0.027409131       15022.186
0.125       225.18936     0.026428166       15289.064
0.125       229.21060     0.025829403       15757.551
0.125       233.23184     0.025197783       16195.565
0.125       237.25308     0.024644081       16673.180
0.125       241.27432     0.024030720       17098.985
0.125       245.29555     0.023202418       17348.924
0.125       249.31679     0.022632389       17768.684
0.125       253.33803     0.022333780       18396.435
0.125       257.35927     0.021926865       18935.041
0.125       265.40175     0.020938962       19830.641
0.125       273.44422     0.019655440       20359.133
0.125       281.48670     0.018801444       21243.942
0.125       289.52918     0.018472867       22713.370
0.125       297.57166     0.017174866       22926.529
0.125       305.61413     0.016522046       23892.103
0.125       313.65661     0.015951096       24935.846
0.125       321.69909     0.015775970       26608.219
0.125       329.74156     0.014628643       26570.234
0.125       337.78404     0.014117120       27563.461
0.125       345.82652     0.013650687       28602.213
0.125       353.86900     0.013081434       29366.565
0.125       361.91147     0.012920641       31028.541
0.125       369.95395     0.012326093       31618.314
0.125       377.99643     0.012177631       33319.323
0.125       386.03891     0.011308123       32957.480
0.125       394.08138     0.011496951       35645.992
0.125       402.12386     0.010802237       35584.715
0.125       410.16634     0.010559910       36915.649
0.125       418.20881     0.010034545       37183.261
0.125       426.25129    0.0098163220       38513.783
0.125       434.29377    0.0091990501       38173.681
0.125       442.33625    0.0093277785       40898.376
0.125       450.37872    0.0091272043       42241.723
0.125       458.42120    0.0087152278       42534.671
0.125       466.46368    0.0085635583       44032.973
0.125       474.50615    0.0082163864       44470.976
0.125       482.54863    0.0080122686       45608.840
0.125       490.59111    0.0077337208       46261.293
0.125       498.63359    0.0076194544       47856.256
0.125       506.67606    0.0072782817       47961.226
0.125       514.71854    0.0071775736       49585.803
0.000     0.062831853       2962.5032     0.037227913
0.000      0.12566371       4721.3449      0.47464136
0.000      0.18849556       2028.2440      0.68816697
0.000      0.25132741       1689.9511       1.3591393
0.000      0.31415927       1233.6184       1.9377633
0.000      0.37699112       944.37422       2.5633490
0.000      0.43982297       795.80063       3.4301117
0.000      0.50265482       720.89681       4.6382369
0.000      0.56548668       618.73867       5.6681933
0.000      0.62831853       591.21989       7.4294883
0.000      0.69115038       536.49651       8.9733544
0.000      0.75398224       478.72639       10.395394
0.000      0.81681409       468.57675       12.936615
0.000      0.87964594       438.30660       15.113741
0.000      0.94247780       403.16475       17.098822
0.000       1.0053096       386.53457       19.895651
0.000       1.0681415       367.06835       22.662279
0.000       1.1309734       324.53130       23.783949
0.000       1.1938052       312.55030       26.939566
0.000       1.2566371       291.96922       29.351947
0.000       1.3194689       286.60083       33.353790
0.000       1.3823008       267.92865       35.850653
0.000       1.4451326       252.86063       38.661134
0.000       1.5079645       238.43186       41.419789
0.000       1.5707963       228.00397       44.768475
0.000       1.6336282       219.37002       48.451495
0.000       1.6964600       205.13136       50.737985
0.000       1.7592919       195.03984       53.803100
0.000       1.8221237       187.47187       57.456606
0.000       1.8849556       177.79391       60.324052
0.000       1.9477874       166.50542       62.333759
0.000       2.0106193       161.10942       66.340806
0.000       2.0734512       155.15353       70.066973
0.000       2.1362830       149.40529       73.792564
0.000       2.1991149       142.62295       76.842843
0.000       2.2619467       136.60345       80.090135
0.000       2.3247786       131.95032       83.989595
0.000       2.3876104       125.55809       86.577560
0.000       2.4504423       121.76616       90.767481
0.000       2.5132741       117.01671       94.110422
0.000       2.5761060       111.62397       96.676049
0.000       2.6389378       107.66876       100.24147
0.000       2.7017697       102.99533       102.90412
0.000       2.7646015       100.74661       107.84459
0.000       2.8274334       94.503166       108.21657
0.000       2.8902652       92.446830       113.07729
0.000       2.9530971       89.022476       116.14569
0.000       3.0159289       85.511931       118.83936
0.000       3.0787608       83.593433       123.58628
0.000       3.1415927       79.420154       124.75289
0.000       3.2044245       78.599810       131.02130
0.000       3.2672564       74.961869       132.45254
0.000       3.3300882       73.273592       137.08343
0.000       3.3929201       71.084488       140.65850
0.000       3.4557519       68.209534       142.60771
0.000       3.5185838       66.317612       146.35340
0.000       3.5814156       64.455077       150.00010
0.000       3.6442475       62.326656       152.81559
0.000       3.7070793       60.916019       157.21624
0.000       3.7699112       58.574365       158.99051
0.000       3.8327430       57.074163       162.79420
0.000       3.8955749       55.323167       165.68835
0.000       3.9584067       53.960830       169.55482
0.000       4.0212386       52.399637       172.61481
0.000       4.1469023       49.915234       180.33282
0.000       4.2725660       46.601416       184.13473
0.000       4.3982297       44.760294       192.92874
0.000       4.5238934       41.741457       195.78299
0.000       4.6495571       39.470905       200.99354
0.000       4.7752208       38.630906       213.10102
0.000       4.9008845       36.322805       216.60728
0.000       5.0265482       35.025430       225.35298
0.000       5.1522120       33.117911       229.46389
0.000       5.2778757       31.341783       233.43793
0.000       5.4035394       30.595939       244.55075
0.000       5.5292031       29.566535       253.19686
0.000       5.6548668       27.941237       255.96644
0.000       5.7805305       27.052906       264.72031
0.000       5.9061942       25.763556       268.90521
0.000       6.0318579       25.112136       279.19473
0.000       6.1575216       23.718960       280.53285
0.000       6.2831853       22.928668       288.13014
0.000       6.4088490       22.157845       295.48667
0.000       6.5345127       21.070281       297.83807
0.000       6.6601764       20.798648       311.28813
0.000       6.7858401       19.862291       314.42023
0.000       6.9115038       18.990926       317.63917
0.000       7.0371675       18.497146       326.56426
0.000       7.1628313       17.860611       332.52226
0.000       7.2884950       17.334615       340.01497
0.000       7.4141587       16.695226       344.70548
0.000       7.5398224       15.952137       346.39568
0.000       7.6654861       15.801926       360.57812
0.000       7.7911498       15.349723       367.76930
0.000       7.9168135       14.646502       368.17595
0.000       8.0424772       14.210539       374.49871
0.000       8.2938046       13.185347       381.08619
0.000       8.5451320       12.599583       398.27472
0.000       8.7964594       11.783541       406.32148
0.000       9.0477868       11.305827       424.22835
0.000       9.2991143       10.382623       422.96272
0.000       9.5504417       9.9620098       439.63028
0.000       9.8017691       9.5123926       453.80934
0.000       10.053096       9.0681354       466.75374
0.000       10.304424       8.6341687       478.58815
0.000       10.555751       8.1770922       487.23290
0.000       10.807079       7.7385916       494.83127
0.000       11.058406       7.3676593       504.75125
0.000       11.309734       7.2525241       531.51627
0.000       11.561061       6.7558305       528.86166
0.000       11.812388       6.5961171       550.77189
0.000       12.063716       6.1172552       544.08925
0.000       12.315043       6.0249797       570.07719
0.000       12.566371       5.7460957       577.66055
0.000       12.817698       5.4331106       579.62740
0.000       13.069025       5.2397325       592.52815
0.000       13.320353       5.0842920       608.76255
0.000       13.571680       4.8026854       608.21239
0.000       13.823008       4.6714383       625.06981
0.000       14.074335       4.5410372       641.37049
0.000       14.325663       4.3872509       653.44174
0.000       14.576990       4.2328926       664.21865
0.000       14.828317       4.0603326       670.66784
0.000       15.079645       3.9118886       679.56355
0.000       15.330972       3.7993005       693.55833
0.000       15.582300       3.6982647       708.86396
0.000       15.833627       3.5608083       716.07758
0.000       16.084954       3.4454740       726.40486
0.000       16.587609       3.2079138       741.72741
0.000       17.090264       3.0493503       771.12341
0.000       17.592919       2.8950086       798.60829
0.000       18.095574       2.6914565       807.93180
0.000       18.598229       2.5711524       837.93980
0.000       19.100883       2.3956578       845.77607
0.000       19.603538       2.2821058       870.98249
0.000       20.106193       2.1642682       891.19119
0.000       20.608848       2.0566004       911.97161
0.000       21.111503       1.9677252       937.97691
0.000       21.614157       1.8761592       959.74285
0.000       22.116812       1.7664716       968.15413
0.000       22.619467       1.7372503       1018.5439
0.000       23.122122       1.6127838       1010.0188
0.000       23.624777       1.5623776       1043.6609
0.000       24.127432       1.4956255       1064.2077
0.000       24.630086       1.4272635       1080.3693
0.000       25.132741       1.3872963       1115.7298
0.000       25.635396       1.3376276       1141.6305
0.000       26.138051       1.2650766       1144.4760
0.000       26.640706       1.2305972       1178.7545
0.000       27.143361       1.1715639       1186.9354
0.000       27.646015       1.1365606       1216.6355
0.000       28.148670       1.0877907       1229.1057
0.000       28.651325       1.0398021       1238.9537
0.000       29.153980       1.0180226       1277.9717
0.000       29.656635      0.98375414       1299.9374
0.000       30.159289      0.95048588       1320.9283
0.000       30.661944      0.92081153       1344.7454
0.000       31.164599      0.88511118       1357.2277
0.000       31.667254      0.86275468       1387.9979
0.000       32.169909      0.82695653       1394.7695
0.000       33.175218      0.78460071       1451.3105
0.000       34.180528      0.72848272       1473.7568
0.000       35.185838      0.68976289       1522.2072
0.000       36.191147      0.64853921       1557.4480
0.000       37.196457      0.62141931       1620.1668
0.000       38.201767      0.59145092       1670.4724
0.000       39.207076      0.55381048       1690.9268
0.000       40.212386      0.54293839       1788.5469
0.000       41.217696      0.50539786       1792.8947
0.000       42.223005      0.47788233       1822.3788
0.000       43.228315      0.46532102       1904.2671
0.000       44.233625      0.44422028       1947.7187
0.000       45.238934      0.42493521       1993.1045
0.000       46.244244      0.40566690       2032.4173
0.000       47.249554      0.39311200       2100.7757
0.000       48.254863      0.37910635       2158.0156
0.000       49.260173      0.35646752       2158.6290
0.000       50.265482      0.34624600       2227.7404
0.000       51.270792      0.33323325       2275.2476
0.000       52.276102      0.32163468       2327.7841
0.000       53.281411      0.31491365       2413.1755
0.000       54.286721      0.30496959       2471.7676
0.000       55.292031      0.29076097       2489.9693
0.000       56.297340      0.28211458       2550.1130
0.000       57.302650      0.27277050       2600.1104
0.000       58.307960      0.26404503       2651.7452
0.000       59.313269      0.25414437       2686.6206
0.000       60.318579      0.24759347       2752.7245
0.000       61.323889      0.24201709       2827.5178
0.000       62.329198      0.23316950       2860.3331
0.000       63.334508      0.22896424       2946.8574
0.000       64.339818      0.21933902       2959.5496
0.000       66.350437      0.20698011       3062.8818
0.000       68.361056      0.20061105       3246.7691
0.000       70.371675      0.19212856       3392.0001
0.000       72.382295      0.18331660       3521.8358
0.000       74.392914      0.16845665       3513.6065
0.000       76.403533      0.16564475       3742.7280
0.000       78.414153      0.15577198       3804.8974
0.000       80.424772      0.14767065       3891.6517
0.000       82.435391      0.14393498       4084.8652
0.000       84.446011      0.13811174       4213.4541
0.000       86.456630      0.13390772       4384.0023
0.000       88.467249      0.12803699       4491.1057
0.000       90.477868      0.12378616       4644.8257
0.000       92.488488      0.12057375       4832.6580
0.000       94.499107      0.11457894       4898.4443
0.000       96.509726      0.11127308       5067.2651
0.000       98.520346      0.10778266       5221.5197
0.000       100.53096      0.10340681       5322.5405
0.000       102.54158      0.10004770       5464.8398
0.000       104.55220     0.098349135       5694.3004
0.000       106.56282     0.094511140       5793.8922
0.000       108.57344     0.093338806       6052.0613
0.000       110.58406     0.090766212       6218.3059
0.000       112.59468     0.088280739       6383.9554
0.000       114.60530     0.083504013       6367.8337
0.000       116.61592     0.082483559       6626.9115
0.000       118.62654     0.079331599       6709.0657
0.000       120.63716     0.078390993       6972.3586
0.000       122.64778     0.075315144       7039.3347
0.000       124.65840     0.073522395       7215.3020
0.000       126.66902     0.072319005       7446.1861
0.000       128.67964     0.070120795       7569.1403
0.000       132.70087     0.067709203       8015.6603
0.000       136.72211     0.064870530       8399.1238
0.000       140.74335     0.063077955       8909.0526
0.000       144.76459     0.058815051       9039.5282
0.000       148.78583     0.056746547       9468.7882
0.000       152.80707     0.054270713       9809.9343
0.000       156.82831     0.052629740       10284.302
0.000       160.84954     0.050320415       10608.988
0.000       164.87078     0.048121436       10925.465
0.000       168.89202     0.046845216       11433.071
0.000       172.91326     0.045503410       11917.882
0.000       176.93450     0.043773961       12283.543
0.000       180.95574     0.042564045       12777.039
0.000       184.97698     0.041155660       13196.321
0.000       188.99821     0.040149405       13731.642
0.000       193.01945     0.038822198       14143.393
0.000       197.04069     0.037327929       14466.781
0.000       201.06193     0.037346047       15378.162
0.000       205.08317     0.035714391       15606.430
0.000       209.10441     0.034450125       15956.977
0.000       213.12565     0.033870439       16611.093
0.000       217.14688     0.032497305       16856.927
0.000       221.16812     0.031861158       17462.218
0.000       225.18936     0.030811009       17824.600
0.000       229.21060     0.029789315       18173.345
0.000       233.23184     0.029222618       18782.478
0.000       237.25308     0.028541650       19310.117
0.000       241.27432     0.027823342       19797.613
0.000       245.29555     0.027385906       20477.003
0.000       249.31679     0.026271293       20625.586
0.000       253.33803     0.025942783       21369.187
0.000       257.35927     0.025542205       22057.083
0.000       265.40175     0.023619514       22369.308
0.000       273.44422     0.022665995       23477.471
0.000       281.48670     0.022037048       24899.884
0.000       289.52918     0.021917065       26948.194
0.000       297.57166     0.020582347       27475.135
0.000       305.61413     0.019738885       28543.891
0.000       313.65661     0.018893324       29535.339
0.000       321.69909     0.017877167       30152.162
0.000       329.74156     0.017678796       32110.275
0.000       337.78404     0.017268843       33717.152
0.000       345.82652     0.016310364       34175.021
0.000       353.86900     0.016128374       36206.654
0.000       361.91147     0.015268764       36667.491
0.000       369.95395     0.014697378       37701.022
0.000       377.99643     0.014189847       38824.963
0.000       386.03891     0.013931396       40603.001
0.000       394.08138     0.013492196       41832.196
0.000       402.12386     0.013129198       43250.188
0.000       410.16634     0.012539599       43836.307
0.000       418.20881     0.012058920       44684.634
0.000       426.25129     0.011678099       45818.359
0.000       434.29377     0.011310917       46937.384
0.000       442.33625     0.010845018       47550.831
0.000       450.37872     0.010649391       49286.571
0.000       458.42120     0.010464219       51070.623
0.000       466.46368    0.0099996643       51417.289
0.000       474.50615    0.0097550274       52798.830
0.000       482.54863    0.0094018840       53519.052
0.000       490.59111    0.0091647126       54821.149
0.000       498.63359    0.0090015333       56536.814
0.000       506.67606    0.0087403168       57595.506
0.000       514.71854    0.0084709613       58521.088
