# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000       6.4088490      0.61591356       8.2135356
3.000       6.5345127      0.59991701       8.4801016
3.000       6.6601764      0.57788416       8.6490469
3.000       6.7858401      0.57021674       9.0265355
3.000       6.9115038      0.56200484       9.4000027
3.000       7.0371675      0.54193937       9.5678561
3.000       7.1628313      0.52861313       9.8415242
3.000       7.2884950      0.51956814       10.191224
3.000       7.4141587      0.49256255       10.169914
3.000       7.5398224      0.48808388       10.598589
3.000       7.6654861      0.46989158       10.722277
3.000       7.7911498      0.46770799       11.205977
3.000       7.9168135      0.45954336       11.551756
3.000       8.0424772      0.44245628       11.660311
3.000       8.2938046      0.42780817       12.364619
3.000       8.5451320      0.40293593       12.736866
3.000       8.7964594      0.38495720       13.274141
3.000       9.0477868      0.38699109       14.521060
3.000       9.2991143      0.36671029       14.938882
3.000       9.5504417      0.34925108       15.412688
3.000       9.8017691      0.34000182       16.220525
3.000       10.053096      0.32160197       16.553450
3.000       10.304424      0.31227889       17.309481
3.000       10.555751      0.30246403       18.022351
3.000       10.807079      0.30027561       19.200621
3.000       11.058406      0.29450550       20.176289
3.000       11.309734      0.27968473       20.497276
3.000       11.561061      0.27391976       21.443057
3.000       11.812388      0.26409500       22.051777
3.000       12.063716      0.25910553       23.045718
3.000       12.315043      0.24977983       23.633903
3.000       12.566371      0.24099005       24.226962
3.000       12.817698      0.23384312       24.947381
3.000       13.069025      0.22710217       25.681545
3.000       13.320353      0.22458102       26.889981
3.000       13.571680      0.21832364       27.648519
3.000       13.823008      0.21302314       28.503926
3.000       14.074335      0.20409202       28.825706
3.000       14.325663      0.20018905       29.816366
3.000       14.576990      0.19741931       30.978719
3.000       14.828317      0.18808369       31.066836
3.000       15.079645      0.18695649       32.477616
3.000       15.330972      0.18254494       33.323388
3.000       15.582300      0.17777569       34.075112
3.000       15.833627      0.17152294       34.493216
3.000       16.084954      0.16851477       35.527753
3.000       16.587609      0.15856841       36.663870
3.000       17.090264      0.15229141       38.511637
3.000       17.592919      0.14674037       40.479353
3.000       18.095574      0.14091791       42.301280
3.000       18.598229      0.13612682       44.363796
3.000       19.100883      0.12617551       44.545690
3.000       19.603538      0.12190212       46.524840
3.000       20.106193      0.11740117       48.342849
3.000       20.608848      0.11224170       49.772063
3.000       21.111503      0.11050820       52.677140
3.000       21.614157      0.10421177       53.309176
3.000       22.116812      0.10084971       55.272933
3.000       22.619467     0.097190897       56.982691
3.000       23.122122     0.094479596       59.168607
3.000       23.624777     0.090843501       60.683031
3.000       24.127432     0.088472568       62.952382
3.000       24.630086     0.085671320       64.849036
3.000       25.132741     0.083095203       66.829127
3.000       25.635396     0.079516493       67.865268
3.000       26.138051     0.077356576       69.982120
3.000       26.640706     0.074499162       71.360654
3.000       27.143361     0.073327155       74.289244
3.000       27.646015     0.070931052       75.928408
3.000       28.148670     0.068875897       77.823574
3.000       28.651325     0.065462311       78.000201
3.000       29.153980     0.065000999       81.598813
3.000       29.656635     0.062907717       83.126555
3.000       30.159289     0.060493041       84.069602
3.000       30.661944     0.058837518       85.925818
3.000       31.164599     0.059238141       90.835647
3.000       31.667254     0.056699930       91.218725
3.000       32.169909     0.054820156       92.461304
3.000       33.175218     0.050559581       93.522282
3.000       34.180528     0.048993302       99.115888
3.000       35.185838     0.045657487       100.75949
3.000       36.191147     0.044913392       107.85820
3.000       37.196457     0.042488228       110.77547
3.000       38.201767     0.041336270       116.74866
3.000       39.207076     0.039654748       121.07621
3.000       40.212386     0.035063112       115.50486
3.000       41.217696     0.034775669       123.36639
3.000       42.223005     0.035623255       135.84739
3.000       43.228315     0.032987886       134.99873
3.000       44.233625     0.032508238       142.53492
3.000       45.238934     0.030887578       144.87425
3.000       46.244244     0.029525808       147.92620
3.000       47.249554     0.028511494       152.36435
3.000       48.254863     0.027656622       157.43187
3.000       49.260173     0.024927154       150.94917
3.000       50.265482     0.025082066       161.37755
3.000       51.270792     0.024229476       165.43385
3.000       52.276102     0.023634748       171.05305
3.000       53.281411     0.024082709       184.54520
3.000       54.286721     0.022493538       182.30931
3.000       55.292031     0.020692695       177.20458
3.000       56.297340     0.020654474       186.70159
3.000       57.302650     0.020497357       195.38546
3.000       58.307960     0.019493572       195.76959
3.000       59.313269     0.018975005       200.58929
3.000       60.318579     0.018735419       208.29890
3.000       61.323889     0.017946800       209.67485
3.000       62.329198     0.018003171       220.84821
3.000       63.334508     0.017393049       223.85520
3.000       64.339818     0.016760779       226.15383
3.000       66.350437     0.016096629       238.19715
3.000       68.361056     0.014127572       228.64624
3.000       70.371675     0.014822633       261.69129
3.000       72.382295     0.013372381       256.90706
3.000       74.392914     0.013770468       287.21934
3.000       76.403533     0.011822172       267.12089
3.000       78.414153     0.011083243       270.72009
3.000       80.424772     0.010783403       284.18137
3.000       82.435391     0.010654321       302.36891
3.000       84.446011     0.010704250       326.56071
3.000       86.456630     0.010206921       334.16420
3.000       88.467249    0.0084237504       295.47675
3.000       90.477868    0.0082872685       310.96302
3.000       92.488488    0.0074857503       300.03273
3.000       94.499107    0.0073848163       315.71344
3.000       96.509726    0.0089494788       407.55033
3.000       98.520346    0.0075287105       364.72761
3.000       100.53096    0.0078944818       406.34362
3.000       102.54158    0.0073490294       401.42120
3.000       104.55220    0.0069191522       400.61086
3.000       106.56282    0.0063165338       387.22753
3.000       108.57344    0.0062317175       404.06277
3.000       110.58406    0.0061687765       422.61694
3.000       112.59468    0.0052707979       381.15379
3.000       114.60530    0.0053770684       410.04349
3.000       116.61592    0.0053656790       431.09052
3.000       118.62654    0.0053550984       452.88015
3.000       120.63716    0.0040206759       357.61244
3.000       122.64778    0.0046856464       437.94424
3.000       124.65840    0.0047648411       467.60946
3.000       126.66902    0.0047889511       493.08506
3.000       128.67964    0.0042777706       461.76096
3.000       132.70087    0.0033802130       400.16184
3.000       136.72211    0.0034507461       446.78599
3.000       140.74335    0.0044161837       623.73634
3.000       144.76459    0.0026224109       403.04917
3.000       148.78583    0.0040497098       675.73881
3.000       152.80707    0.0018222449       329.38765
3.000       156.82831    0.0022371265       437.15369
3.000       160.84954    0.0025549194       538.65037
3.000       164.87078    0.0017783440       403.75426
3.000       168.89202    0.0023902755       583.37205
3.000       172.91326    0.0023068468       604.19052
3.000       176.93450    0.0018393853       516.15547
3.000       180.95574    0.0023116750       693.92750
3.000       184.97698    0.0023018860       738.08622
3.000       188.99821    0.0016481351       563.68461
3.000       193.01945    0.0013925435       507.32034
3.000       197.04069    0.0024232284       939.14442
3.000       201.06193    0.0016830400       693.03351
3.000       205.08317    0.0020464529       894.25643
3.000       209.10441    0.0018585615       860.86837
3.000       213.12565    0.0010690325       524.28607
3.000       217.14688    0.0020270589       1051.4713
3.000       221.16812    0.0021962006       1203.6767
3.000       225.18936    0.0017325222       1002.2884
3.000       229.21060    0.0014903311       909.19516
3.000       233.23184    0.0016157623       1038.5113
3.000       237.25308    0.0012944263       875.75603
3.000       241.27432    0.0017439614       1240.9104
3.000       245.29555    0.0012895065       964.19048
3.000       249.31679    0.0011769707       924.03942
3.000       253.33803   0.00095592345       787.39844
3.000       257.35927   0.00086487134       746.86346
3.000       265.40175   0.00093336802       883.96386
3.000       273.44422    0.0012857905       1331.8237
3.000       281.48670   0.00025808721       291.61535
3.000       289.52918   0.00070962389       872.52023
3.000       297.57166    0.0021287119       2841.5927
3.000       305.61413    0.0016831545       2433.9662
3.000       313.65661    0.0017349062       2712.1243
3.000       321.69909    0.0016649764       2808.1987
3.000       329.74156   0.00024157654       438.77926
3.000       337.78404    0.0013111270       2559.9554
3.000       345.82652   0.00052317933       1096.2149
3.000       353.86900    0.0010332903       2319.6376
3.000       361.91147    0.0013588687       3263.2835
3.000       369.95395    0.0016161224       4145.6011
3.000       377.99643    0.0014280099       3907.1902
3.000       386.03891    0.0011642592       3393.2289
3.000       394.08138   0.00074925884       2323.0571
3.000       402.12386   0.00052900701       1742.6542
3.000       410.16634    0.0010446325       3651.8574
3.000       418.20881   0.00080404356       2979.4039
3.000       426.25129   0.00047660160       1869.9194
3.000       434.29377    0.0010152124       4212.8693
3.000       442.33625   0.00083479847       3660.2394
3.000       450.37872   0.00065865599       3048.3336
3.000       458.42120   0.00071655350       3497.1395
3.000       466.46368   0.00047227323       2428.3824
3.000       474.50615   0.00047940151       2594.7481
3.000       482.54863   0.00027255475       1551.4839
3.000       490.59111   0.00023738206       1419.9635
3.000       498.63359   0.00089607100       5628.0411
3.000       506.67606    0.0013181284       8685.9859
3.000       514.71854    0.0016227413       11210.604
2.750     0.015707963       1059.1799   0.00020796948
2.750     0.031415927       2715.4562    0.0042654286
2.750     0.047123890       1444.9510    0.0076603177
2.750     0.062831853       1154.4167     0.014506829
2.750     0.078539816       875.51120     0.021488278
2.750     0.094247780       716.48208     0.030387080
2.750      0.10995574       585.88819     0.039458335
2.750      0.12566371       503.48390     0.050615722
2.750      0.14137167       366.43378     0.052450897
2.750      0.15707963       331.63684     0.065116741
2.750      0.17278760       287.25849     0.075072491
2.750      0.18849556       254.64423     0.086398752
2.750      0.20420352       225.67730     0.097352662
2.750      0.21991149       204.62720      0.11024969
2.750      0.23561945       177.81024      0.11783124
2.750      0.25132741       162.26787      0.13050356
2.750      0.26703538       140.42186      0.13546010
2.750      0.28274334       127.60165      0.14611799
2.750      0.29845130       114.23169      0.15384284
2.750      0.31415927       102.85918      0.16157082
2.750      0.32986723       94.520773      0.17187592
2.750      0.34557519       85.536680      0.17883409
2.750      0.36128316       80.959477      0.19341097
2.750      0.37699112       73.246727      0.19881623
2.750      0.39269908       68.470273      0.21006417
2.750      0.40840704       65.077954      0.22458659
2.750      0.42411501       60.215343      0.23271713
2.750      0.43982297       56.747049      0.24459483
2.750      0.45553093       52.748857      0.25260209
2.750      0.47123890       49.940274      0.26475525
2.750      0.48694686       45.919258      0.26860237
2.750      0.50265482       44.081224      0.28361779
2.750      0.51836279       41.418414      0.29225717
2.750      0.53407075       39.495937      0.30480288
2.750      0.54977871       37.646850      0.31692950
2.750      0.56548668       36.177508      0.33141796
2.750      0.58119464       33.912954      0.33728784
2.750      0.59690260       32.181279      0.34672406
2.750      0.61261057       30.748567      0.35813651
2.750      0.62831853       29.314034      0.36837101
2.750      0.64402649       27.973349      0.37855233
2.750      0.65973446       26.430023      0.38448137
2.750      0.67544242       25.890877      0.40418671
2.750      0.69115038       24.820904      0.41515045
2.750      0.70685835       24.202553      0.43304059
2.750      0.72256631       22.592579      0.43178663
2.750      0.73827427       22.206862      0.45270017
2.750      0.75398224       21.290044      0.46230667
2.750      0.76969020       20.773561      0.47987605
2.750      0.78539816       19.862347      0.48749534
2.750      0.80110613       19.172164      0.49935747
2.750      0.81681409       18.548913      0.51210427
2.750      0.83252205       17.863567      0.52218655
2.750      0.84823002       17.313757      0.53530647
2.750      0.86393798       16.769848      0.54783159
2.750      0.87964594       16.181753      0.55798115
2.750      0.89535391       15.723651      0.57175222
2.750      0.91106187       15.414768      0.59054208
2.750      0.92676983       14.773244      0.59574690
2.750      0.94247780       14.285681      0.60587718
2.750      0.95818576       13.899800      0.61948092
2.750      0.97389372       13.694682      0.64085078
2.750      0.98960169       13.282157      0.65210894
2.750       1.0053096       12.881790      0.66304959
2.750       1.0367256       12.470076      0.70393215
2.750       1.0681415       11.473473      0.70835589
2.750       1.0995574       11.143764      0.75050905
2.750       1.1309734       10.360016      0.75925527
2.750       1.1623893       9.9514975      0.79179634
2.750       1.1938052       9.6634818      0.83292194
2.750       1.2252211       9.2834126      0.86501044
2.750       1.2566371       8.9102731      0.89575836
2.750       1.2880530       8.4743903      0.91744472
2.750       1.3194689       8.1185847      0.94481782
2.750       1.3508848       7.9529797      0.99324210
2.750       1.3823008       7.6130904       1.0186826
2.750       1.4137167       7.4530037       1.0668141
2.750       1.4451326       7.0239359       1.0739249
2.750       1.4765485       6.7702442       1.1041238
2.750       1.5079645       6.6776767       1.1600293
2.750       1.5393804       6.3974540       1.1822662
2.750       1.5707963       6.2555251       1.2282695
2.750       1.6022123       5.9690739       1.2437622
2.750       1.6336282       5.7678011       1.2739142
2.750       1.6650441       5.6077777       1.3114094
2.750       1.6964600       5.5190615       1.3651061
2.750       1.7278760       5.4046661       1.4124621
2.750       1.7592919       5.1521221       1.4212488
2.750       1.7907078       5.1202932       1.4894958
2.750       1.8221237       4.9424659       1.5147730
2.750       1.8535397       4.8256481       1.5567955
2.750       1.8849556       4.6835917       1.5891052
2.750       1.9163715       4.5719882       1.6301009
2.750       1.9477874       4.4744508       1.6750766
2.750       1.9792034       4.3280300       1.6999329
2.750       2.0106193       4.2532417       1.7513779
2.750       2.0734512       3.9872247       1.8006214
2.750       2.1362830       3.9248655       1.9385250
2.750       2.1991149       3.7242725       2.0065752
2.750       2.2619467       3.5482734       2.0803406
2.750       2.3247786       3.4873816       2.2198034
2.750       2.3876104       3.2676823       2.2532038
2.750       2.4504423       3.1376486       2.3388803
2.750       2.5132741       3.0715603       2.4702954
2.750       2.5761060       2.9643683       2.5674003
2.750       2.6389378       2.8322224       2.6368480
2.750       2.7017697       2.7430970       2.7406678
2.750       2.7646015       2.6988926       2.8890396
2.750       2.8274334       2.5871263       2.9625456
2.750       2.8902652       2.5358528       3.1017543
2.750       2.9530971       2.4167411       3.1530697
2.750       3.0159289       2.3891971       3.3203630
2.750       3.0787608       2.2825647       3.3745914
2.750       3.1415927       2.2608006       3.5512573
2.750       3.2044245       2.1948947       3.6587613
2.750       3.2672564       2.1290451       3.7618785
2.750       3.3300882       2.0451404       3.8261378
2.750       3.3929201       1.9909896       3.9396727
2.750       3.4557519       1.9342976       4.0440938
2.750       3.5185838       1.9163513       4.2291108
2.750       3.5814156       1.8551136       4.3172277
2.750       3.6442475       1.8183872       4.4584121
2.750       3.7070793       1.7678660       4.5626300
2.750       3.7699112       1.7507778       4.7521993
2.750       3.8327430       1.6940944       4.8321118
2.750       3.8955749       1.6493888       4.9397842
2.750       3.9584067       1.6103417       5.0599887
2.750       4.0212386       1.5819054       5.2111108
2.750       4.1469023       1.5180251       5.4842928
2.750       4.2725660       1.4710082       5.8123493
2.750       4.3982297       1.3864227       5.9758492
2.750       4.5238934       1.3583472       6.3711545
2.750       4.6495571       1.2863983       6.5505911
2.750       4.7752208       1.2522442       6.9077984
2.750       4.9008845       1.2167529       7.2559799
2.750       5.0265482       1.1619518       7.4759766
2.750       5.1522120       1.1211019       7.7677726
2.750       5.2778757       1.0694794       7.9656306
2.750       5.4035394       1.0415611       8.3251096
2.750       5.5292031       1.0099034       8.6484387
2.750       5.6548668      0.98274558       9.0028184
2.750       5.7805305      0.95822572       9.3765089
2.750       5.9061942      0.91695219       9.5706210
2.750       6.0318579      0.89855858       9.9901028
2.750       6.1575216      0.86776389       10.263362
2.750       6.2831853      0.83411088       10.481746
2.750       6.4088490      0.80875486       10.785177
2.750       6.5345127      0.79144125       11.187385
2.750       6.6601764      0.76282086       11.416948
2.750       6.7858401      0.75250966       11.912234
2.750       6.9115038      0.73122659       12.230378
2.750       7.0371675      0.72444163       12.789905
2.750       7.1628313      0.69934237       13.020098
2.750       7.2884950      0.67907517       13.319922
2.750       7.4141587      0.64726749       13.364099
2.750       7.5398224      0.63941192       13.884631
2.750       7.6654861      0.62147332       14.181163
2.750       7.7911498      0.61114282       14.642581
2.750       7.9168135      0.60820945       15.288844
2.750       8.0424772      0.57559723       15.169053
2.750       8.2938046      0.56639424       16.370068
2.750       8.5451320      0.52669651       16.648957
2.750       8.7964594      0.50781076       17.510392
2.750       9.0477868      0.48774044       18.301476
2.750       9.2991143      0.46781760       19.057747
2.750       9.5504417      0.45287116       19.985513
2.750       9.8017691      0.43573169       20.787526
2.750       10.053096      0.42064052       21.651147
2.750       10.304424      0.40715484       22.568412
2.750       10.555751      0.38591950       22.995054
2.750       10.807079      0.37668083       24.086224
2.750       11.058406      0.36328727       24.888462
2.750       11.309734      0.35838135       26.264721
2.750       11.561061      0.34286328       26.840111
2.750       11.812388      0.33033859       27.583078
2.750       12.063716      0.32553281       28.953983
2.750       12.315043      0.31669717       29.965550
2.750       12.566371      0.30117625       30.277539
2.750       12.817698      0.29508315       31.480729
2.750       13.069025      0.28294912       31.996923
2.750       13.320353      0.28343605       33.936929
2.750       13.571680      0.27050057       34.256210
2.750       13.823008      0.26173387       35.021749
2.750       14.074335      0.25186956       35.573746
2.750       14.325663      0.24478527       36.458575
2.750       14.576990      0.24141734       37.882818
2.750       14.828317      0.23541829       38.885355
2.750       15.079645      0.22738755       39.501198
2.750       15.330972      0.22546283       41.158002
2.750       15.582300      0.21423498       41.063436
2.750       15.833627      0.21088881       42.409682
2.750       16.084954      0.20618887       43.470534
2.750       16.587609      0.19409252       44.877684
2.750       17.090264      0.18631739       47.116169
2.750       17.592919      0.17764076       49.003441
2.750       18.095574      0.16744201       50.263387
2.750       18.598229      0.16062551       52.347931
2.750       19.100883      0.15439780       54.509440
2.750       19.603538      0.14595811       55.705989
2.750       20.106193      0.14107193       58.089870
2.750       20.608848      0.13633245       60.454778
2.750       21.111503      0.13474496       64.230342
2.750       21.614157      0.12978728       66.392243
2.750       22.116812      0.12277279       67.288364
2.750       22.619467      0.11679470       68.476332
2.750       23.122122      0.11047178       69.183844
2.750       23.624777      0.10972348       73.294769
2.750       24.127432      0.10468304       74.486893
2.750       24.630086      0.10113656       76.555471
2.750       25.132741     0.097217810       78.187202
2.750       25.635396     0.096824950       82.637588
2.750       26.138051     0.093237289       84.348913
2.750       26.640706     0.090757430       86.933992
2.750       27.143361     0.085975591       87.103634
2.750       27.646015     0.082781221       88.613466
2.750       28.148670     0.080728440       91.215883
2.750       28.651325     0.077178970       91.960933
2.750       29.153980     0.076599584       96.159062
2.750       29.656635     0.075432968       99.677482
2.750       30.159289     0.072364515       100.56787
2.750       30.661944     0.067790842       99.001177
2.750       31.164599     0.067459500       103.44226
2.750       31.667254     0.066963275       107.73037
2.750       32.169909     0.064106825       108.12448
2.750       33.175218     0.059383953       109.84511
2.750       34.180528     0.057438276       116.20049
2.750       35.185838     0.055628624       122.76435
2.750       36.191147     0.053692462       128.94088
2.750       37.196457     0.049684362       129.53726
2.750       38.201767     0.049713222       140.40821
2.750       39.207076     0.046494611       141.96008
2.750       40.212386     0.043552641       143.47105
2.750       41.217696     0.040345039       143.12369
2.750       42.223005     0.039091107       149.07185
2.750       43.228315     0.038963165       159.45179
2.750       44.233625     0.036085549       158.21992
2.750       45.238934     0.035584047       166.90244
2.750       46.244244     0.033414611       167.40935
2.750       47.249554     0.032480671       173.57548
2.750       48.254863     0.031606461       179.91584
2.750       49.260173     0.030888606       187.04942
2.750       50.265482     0.029761552       191.48528
2.750       51.270792     0.027494059       187.72374
2.750       52.276102     0.027318272       197.71202
2.750       53.281411     0.026795518       205.33339
2.750       54.286721     0.025987398       210.62692
2.750       55.292031     0.024877565       213.04225
2.750       56.297340     0.024540347       221.82710
2.750       57.302650     0.023469422       223.71586
2.750       58.307960     0.022978823       230.77118
2.750       59.313269     0.021927318       231.79889
2.750       60.318579     0.020737531       230.55822
2.750       61.323889     0.020596881       240.63610
2.750       62.329198     0.019403963       238.03198
2.750       63.334508     0.019077745       245.53788
2.750       64.339818     0.018687375       252.14946
2.750       66.350437     0.017730482       262.37482
2.750       68.361056     0.018054237       292.19696
2.750       70.371675     0.015813577       279.18626
2.750       72.382295     0.015318517       294.29577
2.750       74.392914     0.014875469       310.26704
2.750       76.403533     0.013662026       308.69224
2.750       78.414153     0.013508250       329.95348
2.750       80.424772     0.012729224       335.46073
2.750       82.435391     0.012066967       342.45971
2.750       84.446011     0.011651590       355.46175
2.750       86.456630     0.010197821       333.86627
2.750       88.467249     0.010941700       383.79793
2.750       90.477868     0.010085189       378.42634
2.750       92.488488    0.0097238539       389.73707
2.750       94.499107    0.0090760373       388.01601
2.750       96.509726    0.0088841745       404.57644
2.750       98.520346    0.0079055157       382.98190
2.750       100.53096    0.0081130456       417.59350
2.750       102.54158    0.0079526980       434.39500
2.750       104.55220    0.0069026729       399.65673
2.750       106.56282    0.0072476235       444.30687
2.750       108.57344    0.0069226823       448.86473
2.750       110.58406    0.0069456233       475.83797
2.750       112.59468    0.0071283642       515.48231
2.750       114.60530    0.0056014370       427.15335
2.750       116.61592    0.0053383509       428.89491
2.750       118.62654    0.0058961062       498.63313
2.750       120.63716    0.0053141589       472.65916
2.750       122.64778    0.0050045865       467.75399
2.750       124.65840    0.0049474736       485.53255
2.750       126.66902    0.0051070216       525.83458
2.750       128.67964    0.0045335288       489.36860
2.750       132.70087    0.0047535761       562.74553
2.750       136.72211    0.0042590281       551.43844
2.750       140.74335    0.0030124204       425.47055
2.750       144.76459    0.0039123238       601.30122
2.750       148.78583    0.0030303203       505.64241
2.750       152.80707    0.0031018802       560.69359
2.750       156.82831    0.0031085965       607.44639
2.750       160.84954    0.0017274669       364.19962
2.750       164.87078    0.0027147505       616.35551
2.750       168.89202    0.0025655934       626.16023
2.750       172.91326    0.0022871294       599.02629
2.750       176.93450    0.0024347226       683.21485
2.750       180.95574    0.0025745595       772.84120
2.750       184.97698    0.0020360757       652.85571
2.750       188.99821    0.0020289130       693.91581
2.750       193.01945    0.0023424685       853.38943
2.750       197.04069    0.0021731020       842.20561
2.750       201.06193    0.0021301923       877.15958
2.750       205.08317    0.0013384801       584.88734
2.750       209.10441    0.0018390574       851.83425
2.750       213.12565    0.0015552215       762.72795
2.750       217.14688    0.0016511466       856.47895
