# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000       6.4088490      0.59834251       7.9792163
3.000       6.5345127      0.58231829       8.2313357
3.000       6.6601764      0.56160759       8.4054395
3.000       6.7858401      0.55461782       8.7796044
3.000       6.9115038      0.54521732       9.1192172
3.000       7.0371675      0.52550944       9.2777882
3.000       7.1628313      0.51283612       9.5477937
3.000       7.2884950      0.50446074       9.8948952
3.000       7.4141587      0.47746722       9.8582414
3.000       7.5398224      0.47326094       10.276714
3.000       7.6654861      0.45537391       10.391004
3.000       7.7911498      0.45356545       10.867131
3.000       7.9168135      0.44468318       11.178208
3.000       8.0424772      0.42876559       11.299512
3.000       8.2938046      0.41398204       11.965012
3.000       8.5451320      0.38999991       12.327956
3.000       8.7964594      0.37330099       12.872210
3.000       9.0477868      0.37432961       14.045963
3.000       9.2991143      0.35546352       14.480717
3.000       9.5504417      0.33724351       14.882786
3.000       9.8017691      0.32887803       15.689840
3.000       10.053096      0.31081601       15.998276
3.000       10.304424      0.30145124       16.709308
3.000       10.555751      0.29295794       17.455929
3.000       10.807079      0.29090695       18.601557
3.000       11.058406      0.28480296       19.511577
3.000       11.309734      0.26974794       19.769037
3.000       11.561061      0.26518587       20.759348
3.000       11.812388      0.25543656       21.328802
3.000       12.063716      0.25051873       22.281979
3.000       12.315043      0.24146570       22.847229
3.000       12.566371      0.23235713       23.359086
3.000       12.817698      0.22625805       24.138174
3.000       13.069025      0.21931099       24.800490
3.000       13.320353      0.21684388       25.963583
3.000       13.571680      0.21105980       26.728626
3.000       13.823008      0.20564392       27.516537
3.000       14.074335      0.19768381       27.920618
3.000       14.325663      0.19376370       28.859369
3.000       14.576990      0.19085020       29.947904
3.000       14.828317      0.18156371       29.989894
3.000       15.079645      0.18039800       31.338290
3.000       15.330972      0.17649137       32.218314
3.000       15.582300      0.17173114       32.916523
3.000       15.833627      0.16577268       33.336841
3.000       16.084954      0.16278727       34.320230
3.000       16.587609      0.15352663       35.498122
3.000       17.090264      0.14757716       37.319493
3.000       17.592919      0.14205202       39.186041
3.000       18.095574      0.13586435       40.784283
3.000       18.598229      0.13172230       42.928362
3.000       19.100883      0.12232668       43.186879
3.000       19.603538      0.11713048       44.703710
3.000       20.106193      0.11311291       46.577051
3.000       20.608848      0.10786459       47.831094
3.000       21.111503      0.10651487       50.773599
3.000       21.614157      0.10055500       51.438569
3.000       22.116812     0.096694527       52.995592
3.000       22.619467     0.093175559       54.628512
3.000       23.122122     0.090965932       56.968147
3.000       23.624777     0.087880589       58.703819
3.000       24.127432     0.085365356       60.741455
3.000       24.630086     0.082675393       62.581264
3.000       25.132741     0.080388791       64.652502
3.000       25.635396     0.076647472       65.416633
3.000       26.138051     0.074358739       67.270069
3.000       26.640706     0.071811065       68.785802
3.000       27.143361     0.070214307       71.135554
3.000       27.646015     0.068384340       73.202270
3.000       28.148670     0.065935146       74.500790
3.000       28.651325     0.062713077       74.724411
3.000       29.153980     0.062610803       78.598286
3.000       29.656635     0.060383155       79.790587
3.000       30.159289     0.058209673       80.896315
3.000       30.661944     0.056970555       83.199321
3.000       31.164599     0.056777615       87.062682
3.000       31.667254     0.054507109       87.690919
3.000       32.169909     0.052829305       89.103475
3.000       33.175218     0.048569073       89.840352
3.000       34.180528     0.047122629       95.331422
3.000       35.185838     0.043752259       96.554923
3.000       36.191147     0.043327961       104.05083
3.000       37.196457     0.040952350       106.77112
3.000       38.201767     0.039767095       112.31674
3.000       39.207076     0.037998780       116.02011
3.000       40.212386     0.033523017       110.43148
3.000       41.217696     0.033823806       119.98967
3.000       42.223005     0.033682339       128.44581
3.000       43.228315     0.031831006       130.26434
3.000       44.233625     0.030902872       135.49607
3.000       45.238934     0.029731666       139.45259
3.000       46.244244     0.028381190       142.19159
3.000       47.249554     0.027247419       145.60918
3.000       48.254863     0.026403557       150.29896
3.000       49.260173     0.024169863       146.36331
3.000       50.265482     0.024055392       154.77195
3.000       51.270792     0.023001946       157.05252
3.000       52.276102     0.022104604       159.97885
3.000       53.281411     0.023001283       176.25826
3.000       54.286721     0.021640251       175.39346
3.000       55.292031     0.020079738       171.95544
3.000       56.297340     0.019617643       177.32939
3.000       57.302650     0.019365354       184.59495
3.000       58.307960     0.018746350       188.26540
3.000       59.313269     0.018215180       192.55700
3.000       60.318579     0.017732956       197.15360
3.000       61.323889     0.017276461       201.84319
3.000       62.329198     0.016948410       207.90926
3.000       63.334508     0.016473610       212.02166
3.000       64.339818     0.016126042       217.58930
3.000       66.350437     0.015428898       228.31609
3.000       68.361056     0.013397493       216.83036
3.000       70.371675     0.013862768       244.74503
3.000       72.382295     0.012789272       245.70451
3.000       74.392914     0.013057596       272.35052
3.000       76.403533     0.011449660       258.70402
3.000       78.414153     0.010543875       257.54543
3.000       80.424772     0.010152155       267.54573
3.000       82.435391     0.010564849       299.82970
3.000       84.446011     0.010280346       313.62840
3.000       86.456630    0.0093474653       306.02649
3.000       88.467249    0.0078761860       276.27004
3.000       90.477868    0.0078700976       295.30953
3.000       92.488488    0.0071205151       285.39391
3.000       94.499107    0.0068249092       291.77646
3.000       96.509726    0.0080930519       368.54951
3.000       98.520346    0.0072063428       349.11054
3.000       100.53096    0.0073972400       380.74966
3.000       102.54158    0.0070678531       386.06270
3.000       104.55220    0.0065767625       380.78689
3.000       106.56282    0.0059676218       365.83790
3.000       108.57344    0.0058139022       376.97174
