# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000     0.015707963       1124.3294   0.00022076156
3.000     0.031415927       2720.0817    0.0042726943
3.000     0.047123890       1403.9174    0.0074427803
3.000     0.062831853       1097.4261     0.013790663
3.000     0.078539816       815.18862     0.020007739
3.000     0.094247780       658.14749     0.027913023
3.000      0.10995574       531.97799     0.035827597
3.000      0.12566371       453.18232     0.045558856
3.000      0.14137167       326.98222     0.046803848
3.000      0.15707963       293.59183     0.057646622
3.000      0.17278760       252.75322     0.066054839
3.000      0.18849556       223.16357     0.075717616
3.000      0.20420352       196.62897     0.084821795
3.000      0.21991149       177.59212     0.095683640
3.000      0.23561945       153.66616      0.10183144
3.000      0.25132741       139.68145      0.11233848
3.000      0.26703538       120.41927      0.11616429
3.000      0.28274334       108.92705      0.12473351
3.000      0.29845130       97.384649      0.13115390
3.000      0.31415927       87.331998      0.13718078
3.000      0.32986723       80.050958      0.14556411
3.000      0.34557519       72.289809      0.15113847
3.000      0.36128316       68.190776      0.16290673
3.000      0.37699112       61.419384      0.16671285
3.000      0.39269908       57.359798      0.17597765
3.000      0.40840704       54.330380      0.18749629
3.000      0.42411501       50.215498      0.19407025
3.000      0.43982297       47.208334      0.20348043
3.000      0.45553093       43.740226      0.20946184
3.000      0.47123890       41.324625      0.21907992
3.000      0.48694686       37.918234      0.22180078
3.000      0.50265482       36.311684      0.23362871
3.000      0.51836279       34.045306      0.24023094
3.000      0.53407075       32.353402      0.24968164
3.000      0.54977871       30.769504      0.25903265
3.000      0.56548668       29.524075      0.27046664
3.000      0.58119464       27.594148      0.27444294
3.000      0.59690260       26.150502      0.28174791
3.000      0.61261057       24.899710      0.29001336
3.000      0.62831853       23.678315      0.29755048
3.000      0.64402649       22.565028      0.30536365
3.000      0.65973446       21.272562      0.30945503
3.000      0.67544242       20.776268      0.32434170
3.000      0.69115038       19.896328      0.33278278
3.000      0.70685835       19.345598      0.34613825
3.000      0.72256631       18.029223      0.34457233
3.000      0.73827427       17.691624      0.36065434
3.000      0.75398224       16.937053      0.36778282
3.000      0.76969020       16.458461      0.38019582
3.000      0.78539816       15.722294      0.38588314
3.000      0.80110613       15.134930      0.39420382
3.000      0.81681409       14.618697      0.40359760
3.000      0.83252205       14.016109      0.40971793
3.000      0.84823002       13.600118      0.42048823
3.000      0.86393798       13.107870      0.42820338
3.000      0.87964594       12.656484      0.43642240
3.000      0.89535391       12.263537      0.44593361
3.000      0.91106187       11.991528      0.45939727
3.000      0.92676983       11.460931      0.46217432
3.000      0.94247780       11.056620      0.46892785
3.000      0.95818576       10.743646      0.47881869
3.000      0.97389372       10.580957      0.49514216
3.000      0.98960169       10.236138      0.50255971
3.000       1.0053096       9.9001758      0.50958040
3.000       1.0367256       9.5592183      0.53961508
3.000       1.0681415       8.7358884      0.53934134
3.000       1.0995574       8.4617938      0.56988398
3.000       1.1309734       7.8366966      0.57432856
3.000       1.1623893       7.5047961      0.59712320
3.000       1.1938052       7.2647452      0.62616826
3.000       1.2252211       6.9513736      0.64771556
3.000       1.2566371       6.6655914      0.67009834
3.000       1.2880530       6.3062654      0.68272168
3.000       1.3194689       6.0264276      0.70133852
3.000       1.3508848       5.8458146      0.73007972
3.000       1.3823008       5.6104777      0.75071958
3.000       1.4137167       5.4651425      0.78227402
3.000       1.4451326       5.1435842      0.78642846
3.000       1.4765485       4.9357656      0.80494828
3.000       1.5079645       4.8621273      0.84463663
3.000       1.5393804       4.6408851      0.85764770
3.000       1.5707963       4.5140464      0.88633093
3.000       1.6022123       4.2954563      0.89503436
3.000       1.6336282       4.1349485      0.91327174
3.000       1.6650441       4.0113859      0.93808444
3.000       1.6964600       3.9431015      0.97530200
3.000       1.7278760       3.8478052       1.0055902
3.000       1.7592919       3.6634755       1.0105953
3.000       1.7907078       3.6168177       1.0521340
3.000       1.8221237       3.4862195       1.0684608
3.000       1.8535397       3.3949698       1.0952464
3.000       1.8849556       3.2961399       1.1183539
3.000       1.9163715       3.1964011       1.1396478
3.000       1.9477874       3.1245664       1.1697275
3.000       1.9792034       3.0121060       1.1830736
3.000       2.0106193       2.9575806       1.2178572
3.000       2.0734512       2.7644251       1.2484079
3.000       2.1362830       2.7038264       1.3354432
3.000       2.1991149       2.5661058       1.3825745
