# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000       6.4088490      0.49503311       6.6015304
3.000       6.5345127      0.48122199       6.8022932
3.000       6.6601764      0.46075804       6.8960497
3.000       6.7858401      0.44955077       7.1163923
3.000       6.9115038      0.44344177       7.4169358
3.000       7.0371675      0.43084953       7.6065820
3.000       7.1628313      0.41397472       7.7072285
3.000       7.2884950      0.40531052       7.9500839
3.000       7.4141587      0.38341979       7.9164488
3.000       7.5398224      0.37445242       8.1311176
3.000       7.6654861      0.36285043       8.2797456
3.000       7.7911498      0.35714231       8.5568953
3.000       7.9168135      0.34456558       8.6615057
3.000       8.0424772      0.33155419       8.7376430
3.000       8.2938046      0.32019864       9.2544611
3.000       8.5451320      0.29809671       9.4228825
3.000       8.7964594      0.27957105       9.6402026
3.000       9.0477868      0.27690046       10.390131
3.000       9.2991143      0.25281094       10.298901
3.000       9.5504417      0.24669187       10.886680
3.000       9.8017691      0.24262471       11.574938
3.000       10.053096      0.22705958       11.687178
3.000       10.304424      0.21672266       12.012841
3.000       10.555751      0.20759827       12.369764
3.000       10.807079      0.20779864       13.287336
3.000       11.058406      0.19879301       13.619118
3.000       11.309734      0.18699748       13.704498
3.000       11.561061      0.18399650       14.403661
3.000       11.812388      0.18056184       15.076808
3.000       12.063716      0.16820608       14.960815
3.000       12.315043      0.16289054       15.412530
3.000       12.566371      0.15759371       15.843048
3.000       12.817698      0.15289536       16.311529
3.000       13.069025      0.14628812       16.542796
3.000       13.320353      0.14289943       17.109919
3.000       13.571680      0.13693284       17.341183
3.000       13.823008      0.13470000       18.023764
3.000       14.074335      0.13103901       18.507788
3.000       14.325663      0.12319411       18.348660
3.000       14.576990      0.11854835       18.602416
3.000       14.828317      0.11768683       19.438992
3.000       15.079645      0.11346282       19.710478
3.000       15.330972      0.10959986       20.007339
3.000       15.582300      0.10405358       19.944445
3.000       15.833627     0.099662325       20.042067
3.000       16.084954     0.098151798       20.693217
3.000       16.587609     0.088234155       20.401325
3.000       17.090264     0.085321813       21.576284
3.000       17.592919     0.077959955       21.505797
3.000       18.095574     0.072783502       21.848432
3.000       18.598229     0.069610411       22.686066
3.000       19.100883     0.063985963       22.589953
3.000       19.603538     0.060104847       22.939458
3.000       20.106193     0.056584137       23.299923
