# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000       6.4088490      0.70216589       9.3637565
3.000       6.5345127      0.67701898       9.5699733
3.000       6.6601764      0.66380551       9.9350101
3.000       6.7858401      0.64460682       10.204131
3.000       6.9115038      0.62943729       10.527867
3.000       7.0371675      0.60380429       10.660072
3.000       7.1628313      0.58943680       10.973917
3.000       7.2884950      0.58302399       11.435898
3.000       7.4141587      0.56134780       11.590119
3.000       7.5398224      0.54567841       11.849237
3.000       7.6654861      0.53282560       12.158344
3.000       7.7911498      0.52915549       12.678218
3.000       7.9168135      0.50650543       12.732263
3.000       8.0424772      0.49560617       13.061001
3.000       8.2938046      0.46656766       13.484855
3.000       8.5451320      0.43857528       13.863431
3.000       8.7964594      0.42354159       14.604612
3.000       9.0477868      0.40932374       15.359047
3.000       9.2991143      0.38813788       15.811790
3.000       9.5504417      0.37551934       16.571924
3.000       9.8017691      0.35898581       17.126197
3.000       10.053096      0.34509226       17.762538
3.000       10.304424      0.32819114       18.191490
3.000       10.555751      0.32380096       19.293714
3.000       10.807079      0.30819661       19.707116
3.000       11.058406      0.29643950       20.308785
3.000       11.309734      0.28878328       21.164082
3.000       11.561061      0.27578310       21.588924
3.000       11.812388      0.26575013       22.189979
3.000       12.063716      0.26005011       23.129732
3.000       12.315043      0.25102162       23.751400
3.000       12.566371      0.24037719       24.165351
3.000       12.817698      0.23032606       24.572166
3.000       13.069025      0.22192963       25.096616
3.000       13.320353      0.22037410       26.386270
3.000       13.571680      0.20994146       26.586999
3.000       13.823008      0.20313643       27.181018
3.000       14.074335      0.19521561       27.572013
3.000       14.325663      0.18995599       28.292244
3.000       14.576990      0.18279741       28.684273
3.000       14.828317      0.18013232       29.753463
3.000       15.079645      0.17316773       30.082267
3.000       15.330972      0.16622135       30.343533
3.000       15.582300      0.16100307       30.860223
3.000       15.833627      0.15782650       31.738866
3.000       16.084954      0.15114574       31.865862
3.000       16.587609      0.14816687       34.258848
3.000       17.090264      0.13659550       34.542436
3.000       17.592919      0.12753456       35.181298
3.000       18.095574      0.12246977       36.763448
3.000       18.598229      0.11337803       36.949955
3.000       19.100883      0.11150583       39.366627
3.000       19.603538      0.10400972       39.696074
3.000       20.106193     0.098544429       40.578116
3.000       20.608848     0.093762830       41.577857
3.000       21.111503     0.086644569       41.301806
3.000       21.614157     0.083202871       42.562145
3.000       22.116812     0.081038815       44.415130
3.000       22.619467     0.076326920       44.750212
3.000       23.122122     0.073598681       46.091766
3.000       23.624777     0.070888754       47.353354
3.000       24.127432     0.069235495       49.264303
3.000       24.630086     0.066299171       50.185259
3.000       25.132741     0.062988087       50.658025
3.000       25.635396     0.061835071       52.774633
3.000       26.138051     0.060151225       54.416967
3.000       26.640706     0.057025708       54.623323
3.000       27.143361     0.054213483       54.924791
3.000       27.646015     0.053256074       57.008163
3.000       28.148670     0.050140572       56.654341
3.000       28.651325     0.049838428       59.383902
3.000       29.153980     0.048883943       61.366313
3.000       29.656635     0.047324218       62.534446
3.000       30.159289     0.045658000       63.452752
3.000       30.661944     0.042815815       62.527857
3.000       31.164599     0.042576714       65.287048
3.000       31.667254     0.041636752       66.985117
3.000       32.169909     0.039969185       67.413216
3.000       33.175218     0.035226302       65.159642
3.000       34.180528     0.037023368       74.900116
3.000       35.185838     0.034249259       75.583174
3.000       36.191147     0.032452514       77.933766
3.000       37.196457     0.031867996       83.086360
3.000       38.201767     0.031203599       88.130308
3.000       39.207076     0.029660814       90.562146
3.000       40.212386     0.028428665       93.649672
3.000       41.217696     0.026487711       93.964935
3.000       42.223005     0.027023004       103.05079
3.000       43.228315     0.026302583       107.63997
3.000       44.233625     0.024380099       106.89646
3.000       45.238934     0.023381646       109.66863
3.000       46.244244     0.024651568       123.50594
3.000       47.249554     0.023333245       124.69198
3.000       48.254863     0.022537405       128.29137
3.000       49.260173     0.020883378       126.46164
3.000       50.265482     0.021176326       136.24809
3.000       51.270792     0.020409386       139.35106
3.000       52.276102     0.020250225       146.55805
3.000       53.281411     0.020502528       157.11036
3.000       54.286721     0.020066449       162.63784
3.000       55.292031     0.020105232       172.17376
3.000       56.297340     0.019214005       173.68079
3.000       57.302650     0.019080181       181.87662
3.000       58.307960     0.018836852       189.17429
3.000       59.313269     0.018478453       195.34012
3.000       60.318579     0.017774594       197.61653
3.000       61.323889     0.018277775       213.54168
3.000       62.329198     0.018449091       226.31839
3.000       63.334508     0.017970753       231.29047
3.000       64.339818     0.017148415       231.38421
3.000       66.350437     0.016960247       250.97692
3.000       68.361056     0.017093350       276.64559
3.000       70.371675     0.015567537       274.84247
3.000       72.382295     0.015681227       301.26406
3.000       74.392914     0.015961343       332.91580
3.000       76.403533     0.015252819       344.63606
3.000       78.414153     0.015297680       373.66223
3.000       80.424772     0.015627338       411.83644
3.000       82.435391     0.015468875       439.00563
3.000       84.446011     0.014617636       445.94861
3.000       86.456630     0.015647621       512.28717
3.000       88.467249     0.014769108       518.05050
3.000       90.477868     0.014902855       559.19956
3.000       92.488488     0.014354196       575.32355
3.000       94.499107     0.014964962       639.77755
3.000       96.509726     0.014071775       640.81459
3.000       98.520346     0.014078735       682.04286
3.000       100.53096     0.013771931       708.86682
3.000       102.54158     0.013249216       723.70324
3.000       104.55220     0.013906025       805.14263
3.000       106.56282     0.013951393       855.27344
3.000       108.57344     0.013142832       852.17746
3.000       110.58406     0.012318429       843.92370
3.000       112.59468     0.012718996       919.76463
3.000       114.60530     0.012688530       967.59963
3.000       116.61592     0.013062423       1049.4639
3.000       118.62654     0.012335402       1043.2038
3.000       120.63716     0.012345804       1098.0773
3.000       122.64778     0.012738335       1190.5893
3.000       124.65840     0.012532564       1229.9142
3.000       126.66902     0.012076267       1243.4095
3.000       128.67964     0.011742231       1267.5069
3.000       132.70087     0.011230266       1329.4796
3.000       136.72211     0.010415780       1348.5850
3.000       140.74335     0.011213917       1583.8399
3.000       144.76459     0.011354650       1745.1431
3.000       148.78583     0.010397529       1734.9426
3.000       152.80707     0.010575708       1911.6572
3.000       156.82831     0.010225641       1998.1778
3.000       160.84954     0.010047051       2118.2068
3.000       164.87078    0.0096507298       2191.0965
3.000       168.89202    0.0090571597       2210.4957
3.000       172.91326     0.011136728       2916.8409
3.000       176.93450    0.0087259516       2448.6156
3.000       180.95574    0.0090875464       2727.9347
3.000       184.97698    0.0094584018       3032.7809
3.000       188.99821    0.0088048013       3011.3617
3.000       193.01945    0.0084040427       3061.6938
3.000       197.04069    0.0082605963       3201.4699
3.000       201.06193    0.0076817027       3163.1318
3.000       205.08317    0.0072658153       3175.0068
3.000       209.10441    0.0084175191       3898.9164
3.000       213.12565    0.0074111379       3634.6474
3.000       217.14688    0.0069993333       3630.6780
3.000       221.16812    0.0073196691       4011.7079
3.000       225.18936    0.0074392704       4303.7220
3.000       229.21060    0.0068158098       4158.0702
3.000       233.23184    0.0063924034       4108.6386
3.000       237.25308    0.0057722066       3905.2396
3.000       241.27432    0.0058782622       4182.6593
3.000       245.29555    0.0061704732       4613.7894
3.000       249.31679    0.0066051967       5185.7385
3.000       253.33803    0.0056222407       4631.0649
3.000       257.35927    0.0051262883       4426.8289
3.000       265.40175    0.0057884683       5482.0786
3.000       273.44422    0.0044895598       4650.2927
3.000       281.48670    0.0042051602       4751.4532
3.000       289.52918    0.0043257336       5318.7190
3.000       297.57166    0.0053665547       7163.7514
3.000       305.61413    0.0034692333       5016.7686
3.000       313.65661    0.0036550006       5713.7475
3.000       321.69909    0.0039704707       6696.7139
3.000       329.74156    0.0034482117       6263.0411
3.000       337.78404    0.0038446906       7506.6997
3.000       345.82652    0.0028456199       5962.4125
3.000       353.86900    0.0029965631       6726.9968
3.000       361.91147    0.0034413179       8264.2244
3.000       369.95395    0.0032162651       8250.2119
3.000       377.99643    0.0032113971       8786.7314
3.000       386.03891    0.0035109128       10232.542
3.000       394.08138    0.0036936845       11452.171
3.000       402.12386    0.0025638317       8445.7709
3.000       410.16634    0.0026442203       9243.7445
3.000       418.20881    0.0032668266       12105.309
3.000       426.25129    0.0033651087       13202.813
3.000       434.29377    0.0031306071       12991.210
3.000       442.33625    0.0034756013       15239.046
3.000       450.37872    0.0030162820       13959.691
3.000       458.42120    0.0034664397       16917.960
3.000       466.46368    0.0027864963       14327.890
3.000       474.50615    0.0032471054       17574.873
3.000       482.54863    0.0031549567       17959.197
3.000       490.59111    0.0025223898       15088.340
3.000       498.63359    0.0027769838       17441.675
3.000       506.67606    0.0027925401       18401.822
3.000       514.71854    0.0022202437       15338.410
2.750     0.015707963       2946.7388   0.00057859082
2.750     0.031415927       2543.6596    0.0039955711
2.750     0.047123890       1701.0366    0.0090179393
2.750     0.062831853       1088.2440     0.013675277
2.750     0.078539816       988.80645     0.024268961
2.750     0.094247780       728.43962     0.030894217
2.750      0.10995574       675.52403     0.045495120
2.750      0.12566371       518.15150     0.052090270
2.750      0.14137167       420.25868     0.060155329
2.750      0.15707963       344.40827     0.067624405
2.750      0.17278760       290.03418     0.075797891
2.750      0.18849556       281.77481     0.095603941
2.750      0.20420352       222.34240     0.095914052
2.750      0.21991149       193.74620      0.10438719
2.750      0.23561945       178.93938      0.11857949
2.750      0.25132741       163.12110      0.13118978
2.750      0.26703538       143.23049      0.13816948
2.750      0.28274334       127.85495      0.14640805
2.750      0.29845130       120.66287      0.16250410
2.750      0.31415927       111.23361      0.17472534
2.750      0.32986723       96.592247      0.17564268
2.750      0.34557519       89.607977      0.18734608
2.750      0.36128316       82.881535      0.19800273
2.750      0.37699112       78.230433      0.21234369
2.750      0.39269908       73.691332      0.22608217
2.750      0.40840704       67.373406      0.23250829
2.750      0.42411501       60.659704      0.23443447
2.750      0.43982297       58.102787      0.25043842
2.750      0.45553093       54.471986      0.26085376
2.750      0.47123890       51.205691      0.27146378
2.750      0.48694686       48.722622      0.28500050
2.750      0.50265482       46.448277      0.29884737
2.750      0.51836279       43.483750      0.30683062
2.750      0.53407075       40.583450      0.31319556
2.750      0.54977871       38.752549      0.32623781
2.750      0.56548668       36.289411      0.33244309
2.750      0.58119464       35.706083      0.35512175
2.750      0.59690260       33.586086      0.36185958
2.750      0.61261057       32.486117      0.37837420
2.750      0.62831853       30.791208      0.38693373
