# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000       6.4088490      0.61799743       8.2413251
3.000       6.5345127      0.60091254       8.4941739
3.000       6.6601764      0.57829491       8.6551945
3.000       6.7858401      0.57011043       9.0248526
3.000       6.9115038      0.55970149       9.3614772
3.000       7.0371675      0.53858167       9.5085765
3.000       7.1628313      0.52329079       9.7424349
3.000       7.2884950      0.51253159       10.053203
3.000       7.4141587      0.48427710       9.9988446
3.000       7.5398224      0.47913624       10.404294
3.000       7.6654861      0.45891561       10.471820
3.000       7.7911498      0.45600256       10.925522
3.000       7.9168135      0.44666776       11.228096
3.000       8.0424772      0.42999209       11.331835
3.000       8.2938046      0.41357510       11.953251
3.000       8.5451320      0.38687973       12.229327
3.000       8.7964594      0.36521935       12.593538
3.000       9.0477868      0.36471034       13.685019
3.000       9.2991143      0.34464989       14.040195
3.000       9.5504417      0.32450595       14.320669
3.000       9.8017691      0.31451109       15.004434
3.000       10.053096      0.29644131       15.258384
3.000       10.304424      0.28736951       15.928765
3.000       10.555751      0.27134841       16.168324
3.000       10.807079      0.27023695       17.279849
3.000       11.058406      0.26273169       17.999495
3.000       11.309734      0.24704124       18.104930
3.000       11.561061      0.24118300       18.880350
3.000       11.812388      0.23413153       19.549845
3.000       12.063716      0.22334828       19.865347
3.000       12.315043      0.21411710       20.259533
3.000       12.566371      0.20523284       20.632256
3.000       12.817698      0.19480800       20.782948
3.000       13.069025      0.18916867       21.391886
3.000       13.320353      0.18704236       22.395327
3.000       13.571680      0.18042826       22.849446
3.000       13.823008      0.17334943       23.195318
3.000       14.074335      0.16564720       23.395807
3.000       14.325663      0.16015996       23.854392
3.000       14.576990      0.15610314       24.495452
3.000       14.828317      0.14686386       24.258325
3.000       15.079645      0.14576190       25.321394
3.000       15.330972      0.14114496       25.765864
3.000       15.582300      0.13637057       26.138795
3.000       15.833627      0.12849569       25.840448
3.000       16.084954      0.12632878       26.633734
3.000       16.587609      0.11559585       26.727842
3.000       17.090264      0.10956414       27.706713
3.000       17.592919      0.10441805       28.804447
3.000       18.095574     0.098604989       29.599625
3.000       18.598229     0.092061152       30.002773
3.000       19.100883     0.084012384       29.660190
3.000       19.603538     0.077358683       29.524511
3.000       20.106193     0.075340663       31.023389
3.000       20.608848     0.070637787       31.323370
3.000       21.111503     0.069230730       33.000962
3.000       21.614157     0.064270403       32.877305
3.000       22.116812     0.061128269       33.502711
3.000       22.619467     0.055970810       32.815495
3.000       23.122122     0.053951347       33.787465
3.000       23.624777     0.050542755       33.762322
3.000       24.127432     0.047975069       34.136512
3.000       24.630086     0.046232599       34.995836
3.000       25.132741     0.044596579       35.866697
3.000       25.635396     0.041586424       35.492937
3.000       26.138051     0.038335746       34.681173
3.000       26.640706     0.037217128       35.649241
3.000       27.143361     0.035442594       35.907619
3.000       27.646015     0.034550762       36.984992
3.000       28.148670     0.030583139       34.556199
3.000       28.651325     0.030393168       36.214323
3.000       29.153980     0.028927284       36.313781
3.000       29.656635     0.028062952       37.082517
3.000       30.159289     0.025086023       34.863051
3.000       30.661944     0.025360970       37.036948
3.000       31.164599     0.023574727       36.149440
3.000       31.667254     0.022468568       36.147383
3.000       32.169909     0.021189413       35.738694
3.000       33.175218     0.019896916       36.804201
3.000       34.180528     0.016545718       33.472810
3.000       35.185838     0.016772046       37.013486
3.000       36.191147     0.014411313       34.608348
3.000       37.196457     0.013096350       34.144854
3.000       38.201767     0.011569452       32.676338
3.000       39.207076     0.011847796       36.174388
3.000       40.212386     0.010736758       35.369015
3.000       41.217696    0.0098963294       35.107146
3.000       42.223005    0.0091791733       35.004288
3.000       43.228315    0.0089318495       36.552457
3.000       44.233625    0.0086066748       37.736641
3.000       45.238934    0.0081497600       38.225412
3.000       46.244244    0.0072850291       36.498465
3.000       47.249554    0.0063446635       33.905642
3.000       48.254863    0.0055462040       31.571074
3.000       49.260173    0.0051302079       31.066549
3.000       50.265482    0.0051331112       33.026344
3.000       51.270792    0.0038847135       26.524020
3.000       52.276102    0.0041142499       29.776285
3.000       53.281411    0.0032375592       24.809336
3.000       54.286721    0.0045223537       36.653514
3.000       55.292031    0.0033423930       28.623016
3.000       56.297340    0.0031558189       28.526334
3.000       57.302650    0.0035462160       33.803337
3.000       58.307960    0.0027840864       27.959958
3.000       59.313269    0.0025327499       26.774301
3.000       60.318579    0.0024231727       26.940641
3.000       61.323889    0.0023498942       27.454127
3.000       62.329198    0.0028146850       34.528258
3.000       63.334508    0.0023888441       30.745338
3.000       64.339818    0.0022508789       30.371194
3.000       66.350437    0.0025106832       37.152970
3.000       68.361056    0.0026058989       42.174905
3.000       70.371675    0.0020017296       35.340228
3.000       72.382295   0.00059960908       11.519550
3.000       74.392914    0.0012871573       26.847052
3.000       76.403533    0.0010672748       24.114976
3.000       78.414153   0.00078785262       19.244144
3.000       80.424772   0.00041693214       10.987658
3.000       82.435391   0.00081453307       23.116394
3.000       84.446011    0.0011854081       36.163924
3.000       86.456630   0.00062370287       20.419397
3.000       88.467249    0.0012252671       42.978237
3.000       90.477868  -0.00048686055      -18.268460
3.000       92.488488   0.00097599418       39.118349
3.000       94.499107  -0.00014050248      -6.0067198
3.000       96.509726   0.00086305664       39.302738
3.000       98.520346   0.00076496505       37.058653
3.000       100.53096   0.00040756639       20.978198
3.000       102.54158   0.00011440417       6.2490237
3.000       104.55220   0.00063704952       36.884425
3.000       106.56282   0.00040940878       25.098315
3.000       108.57344   0.00059857129       38.811190
3.000       110.58406  -0.00078354256      -53.679747
3.000       112.59468   4.4618407e-05       3.2265466
3.000       114.60530   0.00018509566       14.114991
3.000       116.61592   0.00076512385       61.471742
3.000       118.62654   7.0967529e-06      0.60017171
3.000       120.63716  -9.1711601e-05      -8.1571383
3.000       122.64778  -0.00029345633      -27.427914
3.000       124.65840  -0.00053153301      -52.163306
3.000       126.66902   9.5434983e-05       9.8262780
3.000       128.67964   0.00026167186       28.245986
3.000       132.70087  -0.00029789466      -35.265848
3.000       136.72211   2.0617705e-05       2.6694812
3.000       140.74335   0.00040844762       57.688638
3.000       144.76459   -0.0010709587      -164.60007
3.000       148.78583   0.00054846657       91.517705
3.000       152.80707  -0.00097820348      -176.81935
3.000       156.82831  -0.00020944775      -40.927885
3.000       160.84954   0.00079441359       167.48520
3.000       164.87078   0.00015133835       34.359778
3.000       168.89202   0.00034708282       84.709238
3.000       172.91326   0.00015643572       40.972368
3.000       176.93450   6.7977626e-06       1.9075407
3.000       180.95574  -0.00055747997      -167.34649
3.000       184.97698  -0.00036377985      -116.64387
3.000       188.99821  -0.00069246731      -236.83323
3.000       193.01945   0.00076835254       279.92006
3.000       197.04069   8.9313260e-05       34.614174
3.000       201.06193   0.00071006155       292.38548
3.000       205.08317   0.00045907235       200.60486
3.000       209.10441  -3.6902024e-05      -17.092674
3.000       213.12565  -0.00019135496      -93.846290
3.000       217.14688  -3.5191902e-05      -18.254662
3.000       221.16812   0.00016822792       92.201065
3.000       225.18936  -0.00027353257      -158.24242
3.000       229.21060   0.00038026031       231.98257
3.000       233.23184    0.0010901709       700.69390
3.000       237.25308   0.00014386401       97.332523
3.000       241.27432  -0.00072448128      -515.50242
3.000       245.29555   0.00069003127       515.95053
3.000       249.31679  -0.00011967127      -93.953885
3.000       253.33803  -0.00042812924      -352.65198
3.000       257.35927  -0.00014370050      -124.09320
3.000       265.40175  -0.00021018049      -199.05541
3.000       273.44422   0.00033978325       351.94799
3.000       281.48670   0.00053745788       607.27910
3.000       289.52918   -0.0015275284      -1878.1772
3.000       297.57166  -0.00056206766      -750.29757
3.000       305.61413   8.4873496e-05       122.73337
3.000       313.65661  -0.00020455557      -319.77529
3.000       321.69909  -3.3606831e-05      -56.682280
3.000       329.74156   0.00098757171       1793.7420
3.000       337.78404  -0.00012783357      -249.59310
3.000       345.82652   0.00016895613       354.01291
3.000       353.86900   0.00017767461       398.86246
3.000       361.91147   4.8806676e-05       117.20781
3.000       369.95395   0.00031413564       805.80597
3.000       377.99643   0.00014133145       386.69822
3.000       386.03891   7.5036670e-05       218.69409
3.000       394.08138   0.00054512330       1690.1403
3.000       402.12386   0.00014105420       464.66056
3.000       410.16634   0.00042611332       1489.6197
3.000       418.20881  -0.00067998030      -2519.6843
3.000       426.25129  -0.00035516036      -1393.4515
3.000       434.29377   0.00022155367       919.39050
3.000       442.33625   0.00050229348       2202.3451
3.000       450.37872   0.00015561596       720.20810
3.000       458.42120  -0.00011410677      -556.89813
3.000       466.46368   0.00013373201       687.63684
3.000       474.50615   7.3246814e-05       396.44646
3.000       482.54863  -7.6156221e-05      -433.50979
3.000       490.59111   0.00041607152       2488.8416
3.000       498.63359    0.0012980963       8153.0809
3.000       506.67606  -0.00054637295      -3600.3988
3.000       514.71854  -0.00065283936      -4510.0985
2.750     0.015707963       1057.9121   0.00020772055
2.750     0.031415927       2711.7211    0.0042595615
2.750     0.047123890       1442.8041    0.0076489360
2.750     0.062831853       1152.8703     0.014487396
2.750     0.078539816       874.41845     0.021461458
2.750     0.094247780       715.50616     0.030345690
2.750      0.10995574       585.14347     0.039408179
2.750      0.12566371       502.92066     0.050559099
2.750      0.14137167       366.01078     0.052390350
2.750      0.15707963       331.21517     0.065033946
2.750      0.17278760       286.92043     0.074984140
2.750      0.18849556       254.34144     0.086296018
2.750      0.20420352       225.42910     0.097245591
2.750      0.21991149       204.39883      0.11012664
2.750      0.23561945       177.60708      0.11769660
2.750      0.25132741       162.09526      0.13036474
2.750      0.26703538       140.26909      0.13531272
2.750      0.28274334       127.47904      0.14597759
2.750      0.29845130       114.13951      0.15371870
2.750      0.31415927       102.76196      0.16141811
2.750      0.32986723       94.439460      0.17172806
2.750      0.34557519       85.472637      0.17870020
2.750      0.36128316       80.893666      0.19325374
2.750      0.37699112       73.196712      0.19868047
2.750      0.39269908       68.430948      0.20994352
2.750      0.40840704       65.039754      0.22445476
2.750      0.42411501       60.181714      0.23258716
2.750      0.43982297       56.731143      0.24452627
2.750      0.45553093       52.729838      0.25251101
2.750      0.47123890       49.934160      0.26472283
2.750      0.48694686       45.912596      0.26856340
2.750      0.50265482       44.080438      0.28361274
2.750      0.51836279       41.420204      0.29226980
2.750      0.53407075       39.501318      0.30484441
2.750      0.54977871       37.654629      0.31699499
2.750      0.56548668       36.189142      0.33152453
2.750      0.58119464       33.926173      0.33741931
2.750      0.59690260       32.196967      0.34689309
2.750      0.61261057       30.767361      0.35835540
2.750      0.62831853       29.333726      0.36861847
2.750      0.64402649       27.993622      0.37882667
2.750      0.65973446       26.456092      0.38486060
2.750      0.67544242       25.918860      0.40462354
2.750      0.69115038       24.850036      0.41563770
2.750      0.70685835       24.235908      0.43363740
2.750      0.72256631       22.623202      0.43237189
2.750      0.73827427       22.240288      0.45338159
2.750      0.75398224       21.325565      0.46307800
2.750      0.76969020       20.809761      0.48071229
2.750      0.78539816       19.901897      0.48846604
2.750      0.80110613       19.211745      0.50038839
2.750      0.81681409       18.591116      0.51326942
2.750      0.83252205       17.906138      0.52343098
2.750      0.84823002       17.358812      0.53669947
2.750      0.86393798       16.814599      0.54929352
2.750      0.87964594       16.223847      0.55943265
2.750      0.89535391       15.769812      0.57343073
2.750      0.91106187       15.462606      0.59237477
2.750      0.92676983       14.820494      0.59765232
2.750      0.94247780       14.334566      0.60795046
2.750      0.95818576       13.948629      0.62165711
2.750      0.97389372       13.745735      0.64323984
2.750      0.98960169       13.334828      0.65469488
2.750       1.0053096       12.935635      0.66582114
2.750       1.0367256       12.527759      0.70718831
2.750       1.0681415       11.528928      0.71177964
2.750       1.0995574       11.201869      0.75442226
2.750       1.1309734       10.417956      0.76350152
2.750       1.1623893       10.010734      0.79650953
2.750       1.1938052       9.7231335      0.83806348
2.750       1.2252211       9.3433359      0.87059398
2.750       1.2566371       8.9715431      0.90191788
2.750       1.2880530       8.5389455      0.92443353
2.750       1.3194689       8.1805806      0.95203272
2.750       1.3508848       8.0159549       1.0011070
2.750       1.3823008       7.6774756       1.0272978
2.750       1.4137167       7.5223227       1.0767364
2.750       1.4451326       7.0909721       1.0841744
2.750       1.4765485       6.8373139       1.1150619
2.750       1.5079645       6.7499829       1.1725902
2.750       1.5393804       6.4686639       1.1954260
2.750       1.5707963       6.3263132       1.2421687
2.750       1.6022123       6.0379503       1.2581138
2.750       1.6336282       5.8367291       1.2891381
2.750       1.6650441       5.6783298       1.3279083
2.750       1.6964600       5.5919575       1.3831364
2.750       1.7278760       5.4788852       1.4318586
2.750       1.7592919       5.2253673       1.4414540
2.750       1.7907078       5.1959218       1.5114962
2.750       1.8221237       5.0158516       1.5372643
2.750       1.8535397       4.8991138       1.5804961
2.750       1.8849556       4.7573965       1.6141466
2.750       1.9163715       4.6457279       1.6563921
2.750       1.9477874       4.5479523       1.7025930
2.750       1.9792034       4.4015751       1.7288194
2.750       2.0106193       4.3265623       1.7815695
2.750       2.0734512       4.0592106       1.8331300
2.750       2.1362830       4.0004144       1.9758392
2.750       2.1991149       3.7977977       2.0461894
2.750       2.2619467       3.6229236       2.1241077
2.750       2.3247786       3.5618594       2.2672103
2.750       2.3876104       3.3421115       2.3045259
2.750       2.4504423       3.2104100       2.3931184
2.750       2.5132741       3.1470459       2.5310045
2.750       2.5761060       3.0356055       2.6290979
2.750       2.6389378       2.9058828       2.7054270
2.750       2.7017697       2.8149679       2.8124751
2.750       2.7646015       2.7691994       2.9642998
2.750       2.8274334       2.6580665       3.0437799
2.750       2.8902652       2.6054198       3.1868459
2.750       2.9530971       2.4870925       3.2448556
2.750       3.0159289       2.4598465       3.4185472
2.750       3.0787608       2.3527885       3.4784118
2.750       3.1415927       2.3297409       3.6595484
