# Simulation: FLAMINGO L1_m9 (aka. L1000N1800 - HYDRO_FIDUCIAL)
# Reference: Schaye et al. (2023) - arXiv:2306.04024
# Webpage: https://flamingo.strw.leidenuniv.nl/
#
# Matter power spectrum suppression
######################################################
#
# (0)  Redshift
#      Unit = dimensionless
# (1)  Fourier scale k
#      Unit = 3.240779e-25 cm**-1
#      Unit = 1.000000e-06 pc**-1
#      Unit = 1.000000e+00 Mpc**-1
# (2)  The shot-noise subtracted power
#      Unit = dimensionless
# 
#  (0)         (1)             (2)
#   z           k        P(k)/P(k)_DMO
  0.000     0.008018        0.999834
  0.000     0.014017        0.999832
  0.000     0.019693        0.999817
  0.000     0.025513        0.999797
  0.000     0.032029        0.999778
  0.000     0.038122        0.999746
  0.000     0.043982        0.999721
  0.000     0.050265        0.999679
  0.000     0.056549        0.999629
  0.000     0.062832        0.999579
  0.000     0.069115        0.999513
  0.000     0.075398        0.999477
  0.000     0.081681        0.999400
  0.000     0.087965        0.999338
  0.000     0.094248        0.999258
  0.000     0.100531        0.999176
  0.000     0.106814        0.999059
  0.000     0.113097        0.998947
  0.000     0.119381        0.998868
  0.000     0.125664        0.998758
  0.000     0.131947        0.998628
  0.000     0.138230        0.998539
  0.000     0.144513        0.998393
  0.000     0.150796        0.998272
  0.000     0.157080        0.998145
  0.000     0.163363        0.997976
  0.000     0.169646        0.997791
  0.000     0.175929        0.997672
  0.000     0.182212        0.997516
  0.000     0.188496        0.997391
  0.000     0.194779        0.997183
  0.000     0.201062        0.997017
  0.000     0.207345        0.996835
  0.000     0.213628        0.996621
  0.000     0.219911        0.996448
  0.000     0.226195        0.996291
  0.000     0.232478        0.996068
  0.000     0.238761        0.995911
  0.000     0.245044        0.995667
  0.000     0.251327        0.995424
  0.000     0.257611        0.995304
  0.000     0.263894        0.995066
  0.000     0.270177        0.994765
  0.000     0.276460        0.994560
  0.000     0.282743        0.994315
  0.000     0.289027        0.994099
  0.000     0.295310        0.993851
  0.000     0.301593        0.993588
  0.000     0.307876        0.993375
  0.000     0.314159        0.993065
  0.000     0.320442        0.992898
  0.000     0.326726        0.992608
  0.000     0.333009        0.992337
  0.000     0.339292        0.992127
  0.000     0.345575        0.991864
  0.000     0.351858        0.991638
  0.000     0.358142        0.991295
  0.000     0.364425        0.991041
  0.000     0.370708        0.990821
  0.000     0.376991        0.990496
  0.000     0.383274        0.990211
  0.000     0.389557        0.989991
  0.000     0.395841        0.989585
  0.000     0.402124        0.989446
  0.000     0.408407        0.989174
  0.000     0.414690        0.988822
  0.000     0.420973        0.988551
  0.000     0.427257        0.988261
  0.000     0.433540        0.987951
  0.000     0.439823        0.987708
  0.000     0.446106        0.987287
  0.000     0.452389        0.987078
  0.000     0.458673        0.986761
  0.000     0.464956        0.986501
  0.000     0.471239        0.986242
  0.000     0.477522        0.985874
  0.000     0.483805        0.985669
  0.000     0.490088        0.985312
  0.000     0.496372        0.984924
  0.000     0.502655        0.984724
  0.000     0.508938        0.984442
  0.000     0.515221        0.984140
  0.000     0.521504        0.983889
  0.000     0.527788        0.983588
  0.000     0.534071        0.983370
  0.000     0.540354        0.983016
  0.000     0.546637        0.982725
  0.000     0.552920        0.982397
  0.000     0.559203        0.982176
  0.000     0.565487        0.981753
  0.000     0.578053        0.981484
  0.000     0.603186        0.980527
  0.000     0.628319        0.978630
  0.000     0.653451        0.977946
  0.000     0.678584        0.976631
  0.000     0.703717        0.975771
  0.000     0.728849        0.974694
  0.000     0.753982        0.973706
  0.000     0.779115        0.972890
  0.000     0.804248        0.971770
  0.000     0.829380        0.970811
  0.000     0.854513        0.969810
  0.000     0.879646        0.968729
  0.000     0.904779        0.968138
  0.000     0.929911        0.967751
  0.000     0.955044        0.966330
  0.000     0.980177        0.965455
  0.000     1.032568        0.963620
  0.000     1.089321        0.960794
  0.000     1.149193        0.959054
  0.000     1.212356        0.956482
  0.000     1.278990        0.953961
  0.000     1.349287        0.951213
  0.000     1.423448        0.947891
  0.000     1.501684        0.945072
  0.000     1.584221        0.942220
  0.000     1.671294        0.938239
  0.000     1.763153        0.934243
  0.000     1.860061        0.929978
  0.000     1.962295        0.926023
  0.000     2.070149        0.921700
  0.000     2.183930        0.916924
  0.000     2.303965        0.913704
  0.000     2.430597        0.907179
  0.000     2.564190        0.902078
  0.000     2.705125        0.897641
  0.000     2.853806        0.891684
  0.000     3.010659        0.889529
  0.000     3.176133        0.879605
  0.000     3.350703        0.876878
  0.000     3.534867        0.871295
  0.000     3.729153        0.867820
  0.000     3.934118        0.862178
  0.000     4.150348        0.860855
  0.000     4.378463        0.855230
  0.000     4.619115        0.853088
  0.000     4.872995        0.849467
  0.000     5.140828        0.846504
  0.000     5.423383        0.846407
  0.000     5.721467        0.845452
  0.000     6.035935        0.845017
  0.000     6.367687        0.843431
  0.000     6.717673        0.843917
  0.000     7.086895        0.846590
  0.000     7.476411        0.849177
  0.000     7.887335        0.849787
  0.000     8.320846        0.852805
  0.000     8.778183        0.855190
  0.000     9.260656        0.859577
  0.000     9.769648        0.866343
  0.000    10.306615        0.874154
  0.000    10.873096        0.887640
  0.000    11.470712        0.890148
  0.000    12.101174        0.896660
  0.000    12.766289        0.907930
  0.000    13.467960        0.918377
  0.000    14.208197        0.925388
  0.000    14.989120        0.937559
  0.000    15.812964        0.965510
  0.000    16.682089        0.984178
  0.000    17.598983        1.001133
  0.000    18.566273        1.008097
  0.000    19.586727        1.051485
  0.000    20.663269        1.074508
  0.000    21.798980        1.088410
  0.000    22.997114        1.123422
  0.000    24.261100        1.152090
  0.000    25.594558        1.190551
  0.000    27.001307        1.231189
  0.000    28.485375        1.288228
  0.000    30.051011        1.335235
  0.000    31.702699        1.399413
  0.000    33.445169        1.466685
  0.000    35.283409        1.542476
  0.000    37.222685        1.635839
  0.000    39.268548        1.765452
  0.000    41.426858        1.784149
  0.000    43.703794        1.946382
  0.000    46.105878        2.063653
  0.000    48.639987        2.272068
  0.000    51.313377        2.462331
  0.000    54.133705        2.606508
  0.000    57.109045        2.761255
  0.000    60.247919        3.152231
  0.000    63.559314        3.481595
  0.000    67.052713        3.718769
  0.000    70.738118        4.173310
  0.000    74.626084        4.438830
  0.000    78.727744        4.914564
  0.000    83.054842        5.558133
  0.000    87.619770        5.969207
  0.000    92.435599        6.690338
  0.000    97.516119        7.265488
  0.000   102.875879        8.010326
  0.000   108.530227        8.913061
  0.000   114.495353        9.505198
  0.000   120.788340       10.138081
  0.000   127.427207       10.744766
  0.000   134.430964       11.067330
  0.000   141.819668       11.284728
  0.000   149.614476        9.903092
  0.000   157.837708       23.805255
  0.000   166.512913       30.873450
  0.000   175.664931       29.188080
  0.000   185.319969        7.854723
  0.000   195.505676       16.758595
  0.000   206.251218       18.177436
  0.000   217.587365       21.925556
  0.000   229.546578       46.806695
  0.000   242.163104       30.728929
  0.000   255.473069       25.589048
  0.000   269.514588      188.526084
  0.000   284.327867       13.453155
  0.000   299.955327      -19.041788
  0.000   316.441715        8.463048
  0.000   333.834242      -31.847713
  0.000   352.182710       17.047035
  0.000   371.539663        6.783641
  0.000   391.960527       35.956653
  0.000   413.503780       13.468690
  0.000   436.231111        4.765580
  0.000   460.207600        4.812183
  0.000   485.501904        8.676394
  0.000   512.186454        4.169184
  0.000   540.337662        9.198786
  0.000   570.036139        3.432438
