# Simulation: FLAMINGO Jet (aka. L1000N1800 - HYDRO_JETS_published)
# Reference: Schaye et al. (2023) - arXiv:2306.04024
# Webpage: https://flamingo.strw.leidenuniv.nl/
#
# Matter power spectrum suppression
######################################################
#
# (0)  Redshift
#      Unit = dimensionless
# (1)  Fourier scale k
#      Unit = 3.240779e-25 cm**-1
#      Unit = 1.000000e-06 pc**-1
#      Unit = 1.000000e+00 Mpc**-1
# (2)  The shot-noise subtracted power
#      Unit = dimensionless
# 
#  (0)         (1)             (2)
#   z           k        P(k)/P(k)_DMO
  0.000     0.552920        0.980433
  0.000     0.559203        0.980022
  0.000     0.565487        0.979876
  0.000     0.578053        0.979271
  0.000     0.603186        0.978418
  0.000     0.628319        0.977458
  0.000     0.653451        0.976936
  0.000     0.678584        0.975846
  0.000     0.703717        0.975012
  0.000     0.728849        0.973910
  0.000     0.753982        0.973406
  0.000     0.779115        0.973655
  0.000     0.804248        0.972161
  0.000     0.829380        0.971630
  0.000     0.854513        0.971208
  0.000     0.879646        0.969741
  0.000     0.904779        0.970634
  0.000     0.929911        0.970208
  0.000     0.955044        0.969853
  0.000     0.980177        0.968874
  0.000     1.032568        0.967779
  0.000     1.089321        0.965367
  0.000     1.149193        0.964576
  0.000     1.212356        0.963443
  0.000     1.278990        0.962255
  0.000     1.349287        0.960238
  0.000     1.423448        0.957908
  0.000     1.501684        0.956400
  0.000     1.584221        0.954144
  0.000     1.671294        0.951176
  0.000     1.763153        0.948521
  0.000     1.860061        0.945146
  0.000     1.962295        0.942537
  0.000     2.070149        0.939146
  0.000     2.183930        0.935540
  0.000     2.303965        0.932073
  0.000     2.430597        0.928016
  0.000     2.564190        0.923057
  0.000     2.705125        0.916302
  0.000     2.853806        0.915133
  0.000     3.010659        0.915011
  0.000     3.176133        0.901845
  0.000     3.350703        0.902540
  0.000     3.534867        0.897171
  0.000     3.729153        0.894908
  0.000     3.934118        0.889735
  0.000     4.150348        0.885570
  0.000     4.378463        0.887169
  0.000     4.619115        0.879617
  0.000     4.872995        0.878332
  0.000     5.140828        0.877089
  0.000     5.423383        0.877314
  0.000     5.721467        0.877862
  0.000     6.035935        0.875602
  0.000     6.367687        0.874041
  0.000     6.717673        0.875877
  0.000     7.086895        0.879512
  0.000     7.476411        0.880233
  0.000     7.887335        0.882487
  0.000     8.320846        0.888515
  0.000     8.778183        0.890770
  0.000     9.260656        0.893341
  0.000     9.769648        0.904967
  0.000    10.306615        0.903722
  0.000    10.873096        0.929587
  0.000    11.470712        0.938282
  0.000    12.101174        0.953336
  0.000    12.766289        0.953703
  0.000    13.467960        0.954714
  0.000    14.208197        0.975123
  0.000    14.989120        0.990970
  0.000    15.812964        1.017713
  0.000    16.682089        1.022800
  0.000    17.598983        1.041472
  0.000    18.566273        1.071232
  0.000    19.586727        1.096806
  0.000    20.663269        1.134107
  0.000    21.798980        1.151542
  0.000    22.997114        1.191242
  0.000    24.261100        1.229883
  0.000    25.594558        1.258459
  0.000    27.001307        1.300801
  0.000    28.485375        1.370277
  0.000    30.051011        1.416753
  0.000    31.702699        1.482295
  0.000    33.445169        1.551815
  0.000    35.283409        1.633924
  0.000    37.222685        1.696944
  0.000    39.268548        1.882907
  0.000    41.426858        1.843625
  0.000    43.703794        2.017900
  0.000    46.105878        2.233280
  0.000    48.639987        2.351762
  0.000    51.313377        2.531620
  0.000    54.133705        2.753520
  0.000    57.109045        2.866245
  0.000    60.247919        3.278097
  0.000    63.559314        3.633316
  0.000    67.052713        3.945963
  0.000    70.738118        4.295171
  0.000    74.626084        4.636428
  0.000    78.727744        5.125263
  0.000    83.054842        5.802544
  0.000    87.619770        6.112649
  0.000    92.435599        6.912377
  0.000    97.516119        7.476707
  0.000   102.875879        8.093621
  0.000   108.530227        9.021139
  0.000   114.495353        9.668588
  0.000   120.788340       10.327724
  0.000   127.427207       10.773889
  0.000   134.430964       11.297295
  0.000   141.819668       11.430730
  0.000   149.614476        9.963004
  0.000   157.837708       23.578594
  0.000   166.512913       31.567696
  0.000   175.664931       28.194368
  0.000   185.319969        8.603785
  0.000   195.505676       17.055269
  0.000   206.251218       17.233722
  0.000   217.587365       23.034383
  0.000   229.546578       47.934072
  0.000   242.163104       32.139880
  0.000   255.473069       26.337892
  0.000   269.514588      188.761361
  0.000   284.327867       13.432431
  0.000   299.955327      -18.702362
  0.000   316.441715        8.658082
  0.000   333.834242      -32.646948
  0.000   352.182710       17.682029
  0.000   371.539663        7.508063
  0.000   391.960527       32.541366
  0.000   413.503780       15.756705
  0.000   436.231111        5.405030
  0.000   460.207600        5.389965
  0.000   485.501904       10.269626
  0.000   512.186454        5.554165
  0.000   540.337662       11.316991
  0.000   570.036139        3.417457
