# Simulation: FLAMINGO Jet (aka. L1000N1800 - HYDRO_JETS_published)
# Reference: Schaye et al. (2023) - arXiv:2306.04024
# Webpage: https://flamingo.strw.leidenuniv.nl/
#
# Matter power spectrum suppression
######################################################
#
# (0)  Redshift
#      Unit = dimensionless
# (1)  Fourier scale k
#      Unit = 3.240779e-25 cm**-1
#      Unit = 1.000000e-06 pc**-1
#      Unit = 1.000000e+00 Mpc**-1
# (2)  The shot-noise subtracted power
#      Unit = dimensionless
# 
#  (0)         (1)             (2)
#   z           k        P(k)/P(k)_DMO
  0.000     0.008018        0.996804
  0.000     0.014017        0.996888
  0.000     0.019693        0.996830
  0.000     0.025513        0.996817
  0.000     0.032029        0.996839
  0.000     0.038122        0.996774
  0.000     0.043982        0.996825
  0.000     0.050265        0.996763
  0.000     0.056549        0.996739
  0.000     0.062832        0.996614
  0.000     0.069115        0.996508
  0.000     0.075398        0.996517
  0.000     0.081681        0.996489
  0.000     0.087965        0.996349
  0.000     0.094248        0.996434
  0.000     0.100531        0.996097
  0.000     0.106814        0.995836
  0.000     0.113097        0.995612
  0.000     0.119381        0.995718
  0.000     0.125664        0.995640
  0.000     0.131947        0.995334
  0.000     0.138230        0.995318
  0.000     0.144513        0.995127
  0.000     0.150796        0.994927
  0.000     0.157080        0.994923
  0.000     0.163363        0.994443
  0.000     0.169646        0.994337
  0.000     0.175929        0.994293
  0.000     0.182212        0.993999
  0.000     0.188496        0.993906
  0.000     0.194779        0.993740
  0.000     0.201062        0.993450
  0.000     0.207345        0.993350
  0.000     0.213628        0.992930
  0.000     0.219911        0.992890
  0.000     0.226195        0.992788
  0.000     0.232478        0.992625
  0.000     0.238761        0.992382
  0.000     0.245044        0.992162
  0.000     0.251327        0.991814
  0.000     0.257611        0.991911
  0.000     0.263894        0.991319
  0.000     0.270177        0.991178
  0.000     0.276460        0.990982
  0.000     0.282743        0.990804
  0.000     0.289027        0.990586
  0.000     0.295310        0.990261
  0.000     0.301593        0.990057
  0.000     0.307876        0.989924
  0.000     0.314159        0.989731
  0.000     0.320442        0.989320
  0.000     0.326726        0.989175
  0.000     0.333009        0.988806
  0.000     0.339292        0.988590
  0.000     0.345575        0.988322
  0.000     0.351858        0.988159
  0.000     0.358142        0.987849
  0.000     0.364425        0.987695
  0.000     0.370708        0.987405
  0.000     0.376991        0.987283
  0.000     0.383274        0.986886
  0.000     0.389557        0.986499
  0.000     0.395841        0.986112
  0.000     0.402124        0.986136
  0.000     0.408407        0.985897
  0.000     0.414690        0.985912
  0.000     0.420973        0.985456
  0.000     0.427257        0.985266
  0.000     0.433540        0.984963
  0.000     0.439823        0.984677
  0.000     0.446106        0.984190
  0.000     0.452389        0.984044
  0.000     0.458673        0.983837
  0.000     0.464956        0.983670
  0.000     0.471239        0.983404
  0.000     0.477522        0.982887
  0.000     0.483805        0.982768
  0.000     0.490088        0.982568
  0.000     0.496372        0.982258
  0.000     0.502655        0.982148
  0.000     0.508938        0.981873
  0.000     0.515221        0.981566
  0.000     0.521504        0.981419
  0.000     0.527788        0.981167
  0.000     0.534071        0.981077
  0.000     0.540354        0.980731
  0.000     0.546637        0.980426
