# Simulation: FLAMINGO Jet (aka. L1000N1800 - HYDRO_JETS_published)
# Reference: Schaye et al. (2023) - arXiv:2306.04024
# Webpage: https://flamingo.strw.leidenuniv.nl/
#
# Matter power spectrum suppression
######################################################
#
# (0)  Redshift
#      Unit = dimensionless
# (1)  Fourier scale k
#      Unit = 3.240779e-25 cm**-1
#      Unit = 1.000000e-06 pc**-1
#      Unit = 1.000000e+00 Mpc**-1
# (2)  The shot-noise subtracted power
#      Unit = dimensionless
# 
#  (0)         (1)             (2)
#   z           k        P(k)/P(k)_DMO
  0.500     1.278990        0.953863
  0.500     1.349287        0.951434
  0.500     1.423448        0.949057
  0.500     1.501684        0.946737
  0.500     1.584221        0.944045
  0.500     1.671294        0.941310
  0.500     1.763153        0.938480
  0.500     1.860061        0.935270
  0.500     1.962295        0.932669
  0.500     2.070149        0.929604
  0.500     2.183930        0.926742
  0.500     2.303965        0.924186
  0.500     2.430597        0.923413
  0.500     2.564190        0.916755
  0.500     2.705125        0.914143
  0.500     2.853806        0.914048
  0.500     3.010659        0.910984
  0.500     3.176133        0.908017
  0.500     3.350703        0.906145
  0.500     3.534867        0.903080
  0.500     3.729153        0.899350
  0.500     3.934118        0.897621
  0.500     4.150348        0.899455
  0.500     4.378463        0.892994
  0.500     4.619115        0.898048
  0.500     4.872995        0.896716
  0.500     5.140828        0.900415
  0.500     5.423383        0.903778
  0.500     5.721467        0.904840
  0.500     6.035935        0.907730
  0.500     6.367687        0.913656
  0.500     6.717673        0.918366
  0.500     7.086895        0.924234
  0.500     7.476411        0.930121
  0.500     7.887335        0.935715
  0.500     8.320846        0.946855
  0.500     8.778183        0.957191
  0.500     9.260656        0.962102
  0.500     9.769648        0.979810
  0.500    10.306615        0.988247
  0.500    10.873096        1.010226
  0.500    11.470712        1.031327
  0.500    12.101174        1.047124
  0.500    12.766289        1.046135
  0.500    13.467960        1.083496
  0.500    14.208197        1.104524
  0.500    14.989120        1.141452
  0.500    15.812964        1.160434
  0.500    16.682089        1.181941
  0.500    17.598983        1.227735
  0.500    18.566273        1.270662
  0.500    19.586727        1.320545
  0.500    20.663269        1.355209
  0.500    21.798980        1.406762
  0.500    22.997114        1.463588
  0.500    24.261100        1.514626
  0.500    25.594558        1.615299
  0.500    27.001307        1.700997
  0.500    28.485375        1.754202
  0.500    30.051011        1.884683
  0.500    31.702699        1.992007
  0.500    33.445169        2.113919
  0.500    35.283409        2.272477
  0.500    37.222685        2.378428
  0.500    39.268548        2.492246
  0.500    41.426858        2.732761
  0.500    43.703794        2.983663
  0.500    46.105878        3.345164
  0.500    48.639987        3.645032
  0.500    51.313377        3.787260
  0.500    54.133705        3.983546
  0.500    57.109045        4.316035
  0.500    60.247919        4.712336
  0.500    63.559314        5.754659
  0.500    67.052713        5.886014
  0.500    70.738118        6.622561
  0.500    74.626084        7.298515
  0.500    78.727744        7.895902
  0.500    83.054842        8.988445
  0.500    87.619770        8.865801
  0.500    92.435599        9.847835
  0.500    97.516119       10.463511
  0.500   102.875879       10.934604
  0.500   108.530227       13.171769
  0.500   114.495353       11.034927
  0.500   120.788340       12.402613
  0.500   127.427207       13.259922
  0.500   134.430964       15.697717
  0.500   141.819668       12.565874
  0.500   149.614476       12.708843
  0.500   157.837708      791.809647
  0.500   166.512913        6.358623
  0.500   175.664931     -128.370675
  0.500   185.319969       10.056279
  0.500   195.505676        8.030373
  0.500   206.251218       12.310162
  0.500   217.587365       12.004504
  0.500   229.546578       27.130263
  0.500   242.163104        8.360423
  0.500   255.473069       12.114071
  0.500   269.514588       15.509682
  0.500   284.327867       11.332683
  0.500   299.955327        2.632694
  0.500   316.441715       -8.010738
  0.500   333.834242       -8.479482
  0.500   352.182710       -7.167967
  0.500   371.539663        5.372917
  0.500   391.960527      606.235139
  0.500   413.503780       -5.841326
  0.500   436.231111       -9.088866
  0.500   460.207600       14.599706
  0.500   485.501904       53.910303
  0.500   512.186454        1.546751
  0.500   540.337662        1.957713
  0.500   570.036139        0.997656
