# Simulation: FLAMINGO Jet (aka. L1000N1800 - HYDRO_JETS_published)
# Reference: Schaye et al. (2023) - arXiv:2306.04024
# Webpage: https://flamingo.strw.leidenuniv.nl/
#
# Matter power spectrum suppression
######################################################
#
# (0)  Redshift
#      Unit = dimensionless
# (1)  Fourier scale k
#      Unit = 3.240779e-25 cm**-1
#      Unit = 1.000000e-06 pc**-1
#      Unit = 1.000000e+00 Mpc**-1
# (2)  The shot-noise subtracted power
#      Unit = dimensionless
# 
#  (0)         (1)             (2)
#   z           k        P(k)/P(k)_DMO
  0.500     0.008018        0.997823
  0.500     0.014017        0.997877
  0.500     0.019693        0.997833
  0.500     0.025513        0.997836
  0.500     0.032029        0.997849
  0.500     0.038122        0.997814
  0.500     0.043982        0.997843
  0.500     0.050265        0.997812
  0.500     0.056549        0.997806
  0.500     0.062832        0.997740
  0.500     0.069115        0.997714
  0.500     0.075398        0.997714
  0.500     0.081681        0.997713
  0.500     0.087965        0.997609
  0.500     0.094248        0.997721
  0.500     0.100531        0.997495
  0.500     0.106814        0.997355
  0.500     0.113097        0.997224
  0.500     0.119381        0.997323
  0.500     0.125664        0.997268
  0.500     0.131947        0.997103
  0.500     0.138230        0.997143
  0.500     0.144513        0.996938
  0.500     0.150796        0.996844
  0.500     0.157080        0.996872
  0.500     0.163363        0.996613
  0.500     0.169646        0.996575
  0.500     0.175929        0.996482
  0.500     0.182212        0.996402
  0.500     0.188496        0.996208
  0.500     0.194779        0.996189
  0.500     0.201062        0.995995
  0.500     0.207345        0.995944
  0.500     0.213628        0.995780
  0.500     0.219911        0.995713
  0.500     0.226195        0.995505
  0.500     0.232478        0.995522
  0.500     0.238761        0.995263
  0.500     0.245044        0.995127
  0.500     0.251327        0.994946
  0.500     0.257611        0.994792
  0.500     0.263894        0.994606
  0.500     0.270177        0.994538
  0.500     0.276460        0.994312
  0.500     0.282743        0.994151
  0.500     0.289027        0.993876
  0.500     0.295310        0.993804
  0.500     0.301593        0.993501
  0.500     0.307876        0.993353
  0.500     0.314159        0.993315
  0.500     0.320442        0.992882
  0.500     0.326726        0.992669
  0.500     0.333009        0.992569
  0.500     0.339292        0.992370
  0.500     0.345575        0.991993
  0.500     0.351858        0.991990
  0.500     0.358142        0.991750
  0.500     0.364425        0.991473
  0.500     0.370708        0.991412
  0.500     0.376991        0.991000
  0.500     0.383274        0.990789
  0.500     0.389557        0.990564
  0.500     0.395841        0.990450
  0.500     0.402124        0.990158
  0.500     0.408407        0.989915
  0.500     0.414690        0.989640
  0.500     0.420973        0.989568
  0.500     0.427257        0.989201
  0.500     0.433540        0.989057
  0.500     0.439823        0.988803
  0.500     0.446106        0.988252
  0.500     0.452389        0.988038
  0.500     0.458673        0.987955
  0.500     0.464956        0.987647
  0.500     0.471239        0.987452
  0.500     0.477522        0.987277
  0.500     0.483805        0.986897
  0.500     0.490088        0.986641
  0.500     0.496372        0.986366
  0.500     0.502655        0.986205
  0.500     0.508938        0.985897
  0.500     0.515221        0.985374
  0.500     0.521504        0.985246
  0.500     0.527788        0.984991
  0.500     0.534071        0.984671
  0.500     0.540354        0.984438
  0.500     0.546637        0.984117
  0.500     0.552920        0.983855
  0.500     0.559203        0.983441
  0.500     0.565487        0.983391
  0.500     0.578053        0.983236
  0.500     0.603186        0.981534
  0.500     0.628319        0.980335
  0.500     0.653451        0.979567
  0.500     0.678584        0.979173
  0.500     0.703717        0.977678
  0.500     0.728849        0.976441
  0.500     0.753982        0.976022
  0.500     0.779115        0.973718
  0.500     0.804248        0.972978
  0.500     0.829380        0.971169
  0.500     0.854513        0.970204
  0.500     0.879646        0.970265
  0.500     0.904779        0.968139
  0.500     0.929911        0.967253
  0.500     0.955044        0.966955
  0.500     0.980177        0.964841
  0.500     1.032568        0.963783
  0.500     1.089321        0.960888
  0.500     1.149193        0.958735
  0.500     1.212356        0.957061
