# Simulation: FLAMINGO L1_m9 (aka. L1000N1800 - HYDRO_FIDUCIAL)
# Reference: Schaye et al. (2023) - arXiv:2306.04024
# Webpage: https://flamingo.strw.leidenuniv.nl/
#
# Matter power spectrum suppression
######################################################
#
# (0)  Redshift
#      Unit = dimensionless
# (1)  Fourier scale k
#      Unit = 3.240779e-25 cm**-1
#      Unit = 1.000000e-06 pc**-1
#      Unit = 1.000000e+00 Mpc**-1
# (2)  The shot-noise subtracted power
#      Unit = dimensionless
# 
#  (0)         (1)             (2)
#   z           k        P(k)/P(k)_DMO
  1.500   108.530227       15.547410
  1.500   114.495353       12.642832
  1.500   120.788340       14.517717
  1.500   127.427207       15.040676
  1.500   134.430964       12.745920
  1.500   141.819668       13.043353
  1.500   149.614476        4.490635
  1.500   157.837708        4.950334
  1.500   166.512913      -17.058404
  1.500   175.664931       70.797714
  1.500   185.319969       -1.847099
  1.500   195.505676       -3.144307
  1.500   206.251218       17.219328
  1.500   217.587365       -5.956928
  1.500   229.546578        3.849509
  1.500   242.163104       -3.053399
  1.500   255.473069       -4.586902
  1.500   269.514588        1.718942
  1.500   284.327867      -22.512060
  1.500   299.955327        0.858603
  1.500   316.441715       -3.940769
  1.500   333.834242       -0.713566
  1.500   352.182710       -3.704271
  1.500   371.539663       -1.131151
  1.500   391.960527        1.316354
  1.500   413.503780        9.637009
  1.500   436.231111        0.885543
  1.500   460.207600       -0.239732
  1.500   485.501904        1.767890
  1.500   512.186454       10.411049
  1.500   540.337662        1.747513
  1.500   570.036139        3.128579
