# Simulation: FLAMINGO L1_m9 (aka. L1000N1800 - HYDRO_FIDUCIAL)
# Reference: Schaye et al. (2023) - arXiv:2306.04024
# Webpage: https://flamingo.strw.leidenuniv.nl/
#
# Matter power spectrum suppression
######################################################
#
# (0)  Redshift
#      Unit = dimensionless
# (1)  Fourier scale k
#      Unit = 3.240779e-25 cm**-1
#      Unit = 1.000000e-06 pc**-1
#      Unit = 1.000000e+00 Mpc**-1
# (2)  The shot-noise subtracted power
#      Unit = dimensionless
# 
#  (0)         (1)             (2)
#   z           k        P(k)/P(k)_DMO
  0.500     0.008018        0.999844
  0.500     0.014017        0.999843
  0.500     0.019693        0.999834
  0.500     0.025513        0.999829
  0.500     0.032029        0.999824
  0.500     0.038122        0.999812
  0.500     0.043982        0.999796
  0.500     0.050265        0.999776
  0.500     0.056549        0.999763
  0.500     0.062832        0.999739
  0.500     0.069115        0.999712
  0.500     0.075398        0.999696
  0.500     0.081681        0.999660
  0.500     0.087965        0.999627
  0.500     0.094248        0.999589
  0.500     0.100531        0.999542
  0.500     0.106814        0.999492
  0.500     0.113097        0.999439
  0.500     0.119381        0.999400
  0.500     0.125664        0.999337
  0.500     0.131947        0.999268
  0.500     0.138230        0.999218
  0.500     0.144513        0.999129
  0.500     0.150796        0.999066
  0.500     0.157080        0.998993
  0.500     0.163363        0.998905
  0.500     0.169646        0.998795
  0.500     0.175929        0.998733
  0.500     0.182212        0.998642
  0.500     0.188496        0.998533
  0.500     0.194779        0.998445
  0.500     0.201062        0.998332
  0.500     0.207345        0.998195
  0.500     0.213628        0.998091
  0.500     0.219911        0.997962
  0.500     0.226195        0.997843
  0.500     0.232478        0.997707
  0.500     0.238761        0.997578
  0.500     0.245044        0.997417
  0.500     0.251327        0.997222
  0.500     0.257611        0.997101
  0.500     0.263894        0.996958
  0.500     0.270177        0.996783
  0.500     0.276460        0.996581
  0.500     0.282743        0.996420
  0.500     0.289027        0.996235
  0.500     0.295310        0.996045
  0.500     0.301593        0.995840
  0.500     0.307876        0.995646
  0.500     0.314159        0.995452
  0.500     0.320442        0.995247
  0.500     0.326726        0.995015
  0.500     0.333009        0.994827
  0.500     0.339292        0.994589
  0.500     0.345575        0.994381
  0.500     0.351858        0.994197
  0.500     0.358142        0.993919
  0.500     0.364425        0.993687
  0.500     0.370708        0.993431
  0.500     0.376991        0.993228
  0.500     0.383274        0.992934
  0.500     0.389557        0.992687
  0.500     0.395841        0.992443
  0.500     0.402124        0.992214
  0.500     0.408407        0.991905
  0.500     0.414690        0.991667
  0.500     0.420973        0.991376
  0.500     0.427257        0.991034
  0.500     0.433540        0.990840
  0.500     0.439823        0.990594
  0.500     0.446106        0.990238
  0.500     0.452389        0.989823
  0.500     0.458673        0.989594
  0.500     0.464956        0.989269
  0.500     0.471239        0.989034
  0.500     0.477522        0.988749
  0.500     0.483805        0.988464
  0.500     0.490088        0.988084
  0.500     0.496372        0.987789
  0.500     0.502655        0.987472
  0.500     0.508938        0.987127
  0.500     0.515221        0.986792
