# Simulation: FLAMINGO L1_m9 (aka. L1000N1800 - HYDRO_FIDUCIAL)
# Reference: Schaye et al. (2023) - arXiv:2306.04024
# Webpage: https://flamingo.strw.leidenuniv.nl/
#
# Matter power spectrum suppression
######################################################
#
# (0)  Redshift
#      Unit = dimensionless
# (1)  Fourier scale k
#      Unit = 3.240779e-25 cm**-1
#      Unit = 1.000000e-06 pc**-1
#      Unit = 1.000000e+00 Mpc**-1
# (2)  The shot-noise subtracted power
#      Unit = dimensionless
# 
#  (0)         (1)             (2)
#   z           k        P(k)/P(k)_DMO
  0.500     0.521504        0.986456
  0.500     0.527788        0.986168
  0.500     0.534071        0.985755
  0.500     0.540354        0.985389
  0.500     0.546637        0.985101
  0.500     0.552920        0.984845
  0.500     0.559203        0.984364
  0.500     0.565487        0.984183
  0.500     0.578053        0.983746
  0.500     0.603186        0.981935
  0.500     0.628319        0.981142
  0.500     0.653451        0.979377
  0.500     0.678584        0.978425
  0.500     0.703717        0.976377
  0.500     0.728849        0.975450
  0.500     0.753982        0.973648
  0.500     0.779115        0.972268
  0.500     0.804248        0.970406
  0.500     0.829380        0.968955
  0.500     0.854513        0.967486
  0.500     0.879646        0.966134
  0.500     0.904779        0.964668
  0.500     0.929911        0.962881
  0.500     0.955044        0.961459
  0.500     0.980177        0.960040
  0.500     1.032568        0.957253
  0.500     1.089321        0.953233
  0.500     1.149193        0.950830
  0.500     1.212356        0.947326
  0.500     1.278990        0.943294
  0.500     1.349287        0.938989
  0.500     1.423448        0.935102
  0.500     1.501684        0.931565
  0.500     1.584221        0.927088
  0.500     1.671294        0.923059
  0.500     1.763153        0.918320
  0.500     1.860061        0.913401
  0.500     1.962295        0.908767
  0.500     2.070149        0.904577
  0.500     2.183930        0.899600
  0.500     2.303965        0.896236
  0.500     2.430597        0.892364
  0.500     2.564190        0.885686
  0.500     2.705125        0.879305
  0.500     2.853806        0.876915
  0.500     3.010659        0.870649
  0.500     3.176133        0.868303
  0.500     3.350703        0.864593
  0.500     3.534867        0.860703
  0.500     3.729153        0.857757
  0.500     3.934118        0.853855
  0.500     4.150348        0.852822
  0.500     4.378463        0.851764
  0.500     4.619115        0.852087
  0.500     4.872995        0.851867
  0.500     5.140828        0.853651
  0.500     5.423383        0.856177
  0.500     5.721467        0.859198
  0.500     6.035935        0.859757
  0.500     6.367687        0.864598
  0.500     6.717673        0.869752
  0.500     7.086895        0.875022
  0.500     7.476411        0.881455
  0.500     7.887335        0.888556
  0.500     8.320846        0.897837
  0.500     8.778183        0.907021
  0.500     9.260656        0.916210
  0.500     9.769648        0.925174
  0.500    10.306615        0.940294
  0.500    10.873096        0.959420
  0.500    11.470712        0.971935
  0.500    12.101174        1.010444
  0.500    12.766289        0.996142
  0.500    13.467960        1.030351
  0.500    14.208197        1.055696
  0.500    14.989120        1.078826
  0.500    15.812964        1.112037
  0.500    16.682089        1.128919
  0.500    17.598983        1.168793
  0.500    18.566273        1.217683
  0.500    19.586727        1.261144
  0.500    20.663269        1.303382
  0.500    21.798980        1.356636
  0.500    22.997114        1.403273
  0.500    24.261100        1.463747
  0.500    25.594558        1.550628
  0.500    27.001307        1.634257
  0.500    28.485375        1.697955
  0.500    30.051011        1.819076
  0.500    31.702699        1.937813
  0.500    33.445169        2.065420
  0.500    35.283409        2.215244
  0.500    37.222685        2.304486
  0.500    39.268548        2.498030
  0.500    41.426858        2.839470
  0.500    43.703794        3.010082
  0.500    46.105878        3.241233
  0.500    48.639987        3.636238
  0.500    51.313377        3.799104
  0.500    54.133705        4.034326
  0.500    57.109045        4.388968
  0.500    60.247919        4.800388
  0.500    63.559314        5.782429
  0.500    67.052713        6.085623
  0.500    70.738118        6.773922
  0.500    74.626084        7.512827
  0.500    78.727744        8.051977
  0.500    83.054842        9.370896
  0.500    87.619770        9.351100
  0.500    92.435599       10.435668
  0.500    97.516119       10.918778
  0.500   102.875879       11.367885
  0.500   108.530227       13.885412
  0.500   114.495353       11.647659
  0.500   120.788340       13.325329
  0.500   127.427207       14.501119
  0.500   134.430964       17.206763
  0.500   141.819668       13.603836
  0.500   149.614476       13.684923
  0.500   157.837708      783.642996
  0.500   166.512913        7.051354
  0.500   175.664931     -127.466778
  0.500   185.319969       10.554176
  0.500   195.505676        9.054156
  0.500   206.251218       12.313239
  0.500   217.587365       14.125268
  0.500   229.546578       39.332192
  0.500   242.163104        8.415589
  0.500   255.473069       12.773606
  0.500   269.514588       17.225667
  0.500   284.327867       13.593838
  0.500   299.955327        3.789562
  0.500   316.441715      -11.773235
  0.500   333.834242       -8.082997
  0.500   352.182710       -8.273358
  0.500   371.539663        4.727782
  0.500   391.960527      548.359974
  0.500   413.503780       -5.983595
  0.500   436.231111       -7.641323
  0.500   460.207600       12.846094
  0.500   485.501904       59.901085
  0.500   512.186454        1.417312
  0.500   540.337662        2.237755
  0.500   570.036139        0.656045
