# Simulation: FLAMINGO L1_m9 (aka. L1000N1800 - HYDRO_FIDUCIAL)
# Reference: Schaye et al. (2023) - arXiv:2306.04024
# Webpage: https://flamingo.strw.leidenuniv.nl/
#
# Matter power spectrum suppression
######################################################
#
# (0)  Redshift
#      Unit = dimensionless
# (1)  Fourier scale k
#      Unit = 3.240779e-25 cm**-1
#      Unit = 1.000000e-06 pc**-1
#      Unit = 1.000000e+00 Mpc**-1
# (2)  The shot-noise subtracted power
#      Unit = dimensionless
# 
#  (0)         (1)             (2)
#   z           k        P(k)/P(k)_DMO
  2.000     0.008018        0.999886
  2.000     0.014017        0.999887
  2.000     0.019693        0.999903
  2.000     0.025513        0.999905
  2.000     0.032029        0.999925
  2.000     0.038122        0.999945
  2.000     0.043982        0.999964
  2.000     0.050265        0.999988
  2.000     0.056549        1.000024
  2.000     0.062832        1.000053
  2.000     0.069115        1.000082
  2.000     0.075398        1.000122
  2.000     0.081681        1.000164
  2.000     0.087965        1.000200
  2.000     0.094248        1.000238
  2.000     0.100531        1.000292
  2.000     0.106814        1.000334
  2.000     0.113097        1.000398
  2.000     0.119381        1.000442
  2.000     0.125664        1.000494
  2.000     0.131947        1.000554
  2.000     0.138230        1.000622
  2.000     0.144513        1.000678
  2.000     0.150796        1.000748
  2.000     0.157080        1.000789
  2.000     0.163363        1.000864
  2.000     0.169646        1.000936
  2.000     0.175929        1.001012
  2.000     0.182212        1.001076
  2.000     0.188496        1.001127
  2.000     0.194779        1.001203
  2.000     0.201062        1.001280
  2.000     0.207345        1.001344
  2.000     0.213628        1.001439
  2.000     0.219911        1.001468
  2.000     0.226195        1.001548
  2.000     0.232478        1.001617
  2.000     0.238761        1.001723
  2.000     0.245044        1.001780
  2.000     0.251327        1.001834
  2.000     0.257611        1.001904
  2.000     0.263894        1.001964
  2.000     0.270177        1.002047
  2.000     0.276460        1.002122
  2.000     0.282743        1.002170
  2.000     0.289027        1.002247
  2.000     0.295310        1.002304
  2.000     0.301593        1.002359
  2.000     0.307876        1.002431
  2.000     0.314159        1.002445
  2.000     0.320442        1.002533
  2.000     0.326726        1.002601
  2.000     0.333009        1.002626
  2.000     0.339292        1.002693
  2.000     0.345575        1.002769
  2.000     0.351858        1.002771
  2.000     0.358142        1.002861
  2.000     0.364425        1.002886
  2.000     0.370708        1.002940
  2.000     0.376991        1.003021
  2.000     0.383274        1.003006
  2.000     0.389557        1.003043
  2.000     0.395841        1.003075
  2.000     0.402124        1.003123
  2.000     0.408407        1.003137
  2.000     0.414690        1.003110
  2.000     0.420973        1.003197
  2.000     0.427257        1.003233
  2.000     0.433540        1.003244
  2.000     0.439823        1.003262
  2.000     0.446106        1.003272
  2.000     0.452389        1.003254
  2.000     0.458673        1.003287
  2.000     0.464956        1.003334
  2.000     0.471239        1.003285
  2.000     0.477522        1.003325
  2.000     0.483805        1.003266
  2.000     0.490088        1.003295
  2.000     0.496372        1.003278
  2.000     0.502655        1.003259
  2.000     0.508938        1.003259
  2.000     0.515221        1.003246
  2.000     0.521504        1.003262
  2.000     0.527788        1.003176
  2.000     0.534071        1.003166
  2.000     0.540354        1.003146
  2.000     0.546637        1.003116
  2.000     0.552920        1.003086
  2.000     0.559203        1.003026
  2.000     0.565487        1.002966
  2.000     0.578053        1.002882
  2.000     0.603186        1.002730
  2.000     0.628319        1.002609
  2.000     0.653451        1.002241
  2.000     0.678584        1.001853
  2.000     0.703717        1.001556
  2.000     0.728849        1.001217
  2.000     0.753982        1.000728
  2.000     0.779115        1.000502
  2.000     0.804248        1.000010
  2.000     0.829380        0.999484
  2.000     0.854513        0.998904
  2.000     0.879646        0.998672
  2.000     0.904779        0.997767
  2.000     0.929911        0.997467
  2.000     0.955044        0.996905
  2.000     0.980177        0.996033
  2.000     1.032568        0.995170
  2.000     1.089321        0.993525
  2.000     1.149193        0.992248
  2.000     1.212356        0.990830
  2.000     1.278990        0.989045
  2.000     1.349287        0.987077
  2.000     1.423448        0.985058
  2.000     1.501684        0.983180
  2.000     1.584221        0.917683
  2.000     1.671294        0.979070
  2.000     1.763153        0.976836
  2.000     1.860061        0.974823
  2.000     1.962295        0.972715
  2.000     2.070149        0.970810
  2.000     2.183930        0.968812
  2.000     2.303965        0.967084
  2.000     2.430597        0.965972
  2.000     2.564190        0.965849
  2.000     2.705125        0.964283
  2.000     2.853806        0.963685
  2.000     3.010659        0.962118
  2.000     3.176133        0.961061
  2.000     3.350703        0.965799
  2.000     3.534867        0.965993
  2.000     3.729153        0.968786
  2.000     3.934118        0.971796
  2.000     4.150348        0.975772
  2.000     4.378463        0.979573
  2.000     4.619115        0.985837
  2.000     4.872995        0.989383
  2.000     5.140828        0.998207
  2.000     5.423383        1.005135
  2.000     5.721467        1.015373
  2.000     6.035935        1.026670
  2.000     6.367687        1.038192
  2.000     6.717673        1.051517
  2.000     7.086895        1.065934
  2.000     7.476411        1.081995
  2.000     7.887335        1.100484
  2.000     8.320846        1.120622
  2.000     8.778183        1.142141
  2.000     9.260656        1.159481
  2.000     9.769648        1.194363
  2.000    10.306615        1.206677
  2.000    10.873096        1.254367
  2.000    11.470712        1.286050
  2.000    12.101174        1.311443
  2.000    12.766289        1.343144
  2.000    13.467960        1.406556
  2.000    14.208197        1.458571
  2.000    14.989120        1.515953
  2.000    15.812964        1.563553
  2.000    16.682089        1.625139
  2.000    17.598983        1.682406
  2.000    18.566273        1.761378
  2.000    19.586727        1.849782
  2.000    20.663269        1.962600
  2.000    21.798980        2.055440
  2.000    22.997114        2.154077
  2.000    24.261100        2.295951
  2.000    25.594558        2.404189
  2.000    27.001307        2.568703
  2.000    28.485375        2.785029
  2.000    30.051011        2.927304
  2.000    31.702699        3.139484
  2.000    33.445169        3.377845
  2.000    35.283409        3.680408
  2.000    37.222685        4.090518
  2.000    39.268548        4.293598
  2.000    41.426858        4.298047
  2.000    43.703794        5.445346
  2.000    46.105878        5.808595
  2.000    48.639987        8.455052
  2.000    51.313377        7.108821
  2.000    54.133705        8.991461
  2.000    57.109045        6.351337
  2.000    60.247919        7.408270
  2.000    63.559314        8.015538
  2.000    67.052713        8.871770
  2.000    70.738118       12.051413
  2.000    74.626084        6.929131
  2.000    78.727744       12.698108
  2.000    83.054842       44.405025
  2.000    87.619770      193.797331
  2.000    92.435599       12.510938
  2.000    97.516119        8.725718
  2.000   102.875879       20.035939
  2.000   108.530227        7.889476
  2.000   114.495353       17.321116
  2.000   120.788340       68.279984
  2.000   127.427207       67.665270
  2.000   134.430964       14.120844
  2.000   141.819668        5.876463
  2.000   149.614476        4.279840
  2.000   157.837708       -3.474294
  2.000   166.512913       -0.758102
  2.000   175.664931        1.754517
  2.000   185.319969       24.841336
  2.000   195.505676        2.839191
  2.000   206.251218        1.115360
  2.000   217.587365       -1.193875
  2.000   229.546578        3.013603
  2.000   242.163104        2.009330
  2.000   255.473069       -3.753010
  2.000   269.514588        1.046252
  2.000   284.327867        2.569333
  2.000   299.955327        0.441381
  2.000   316.441715       -0.637058
  2.000   333.834242        3.378732
  2.000   352.182710       -0.091084
  2.000   371.539663        1.167067
