# Simulation: FLAMINGO Jet (aka. L1000N1800 - HYDRO_JETS_published)
# Reference: Schaye et al. (2023) - arXiv:2306.04024
# Webpage: https://flamingo.strw.leidenuniv.nl/
#
# Matter power spectrum suppression
######################################################
#
# (0)  Redshift
#      Unit = dimensionless
# (1)  Fourier scale k
#      Unit = 3.240779e-25 cm**-1
#      Unit = 1.000000e-06 pc**-1
#      Unit = 1.000000e+00 Mpc**-1
# (2)  The shot-noise subtracted power
#      Unit = dimensionless
# 
#  (0)         (1)             (2)
#   z           k        P(k)/P(k)_DMO
  2.000     0.008018        0.999573
  2.000     0.014017        0.999592
  2.000     0.019693        0.999594
  2.000     0.025513        0.999600
  2.000     0.032029        0.999622
  2.000     0.038122        0.999634
  2.000     0.043982        0.999661
  2.000     0.050265        0.999677
  2.000     0.056549        0.999713
  2.000     0.062832        0.999746
  2.000     0.069115        0.999778
  2.000     0.075398        0.999820
  2.000     0.081681        0.999866
  2.000     0.087965        0.999883
  2.000     0.094248        0.999955
  2.000     0.100531        0.999978
  2.000     0.106814        1.000006
  2.000     0.113097        1.000071
  2.000     0.119381        1.000127
  2.000     0.125664        1.000175
  2.000     0.131947        1.000235
  2.000     0.138230        1.000320
  2.000     0.144513        1.000334
  2.000     0.150796        1.000413
  2.000     0.157080        1.000466
  2.000     0.163363        1.000529
  2.000     0.169646        1.000613
  2.000     0.175929        1.000667
  2.000     0.182212        1.000756
  2.000     0.188496        1.000785
  2.000     0.194779        1.000866
  2.000     0.201062        1.000939
  2.000     0.207345        1.000997
  2.000     0.213628        1.001134
  2.000     0.219911        1.001138
  2.000     0.226195        1.001208
  2.000     0.232478        1.001305
  2.000     0.238761        1.001382
  2.000     0.245044        1.001446
  2.000     0.251327        1.001503
  2.000     0.257611        1.001555
  2.000     0.263894        1.001644
  2.000     0.270177        1.001689
  2.000     0.276460        1.001806
  2.000     0.282743        1.001836
  2.000     0.289027        1.001935
  2.000     0.295310        1.001992
  2.000     0.301593        1.002067
  2.000     0.307876        1.002124
  2.000     0.314159        1.002124
  2.000     0.320442        1.002265
  2.000     0.326726        1.002305
  2.000     0.333009        1.002307
  2.000     0.339292        1.002411
  2.000     0.345575        1.002470
  2.000     0.351858        1.002485
  2.000     0.358142        1.002643
  2.000     0.364425        1.002646
  2.000     0.370708        1.002704
  2.000     0.376991        1.002752
  2.000     0.383274        1.002766
  2.000     0.389557        1.002821
  2.000     0.395841        1.002843
  2.000     0.402124        1.002949
  2.000     0.408407        1.002910
  2.000     0.414690        1.002924
  2.000     0.420973        1.003013
  2.000     0.427257        1.003098
  2.000     0.433540        1.003140
  2.000     0.439823        1.003143
  2.000     0.446106        1.003127
  2.000     0.452389        1.003156
  2.000     0.458673        1.003172
  2.000     0.464956        1.003239
  2.000     0.471239        1.003218
  2.000     0.477522        1.003325
  2.000     0.483805        1.003227
  2.000     0.490088        1.003287
  2.000     0.496372        1.003246
  2.000     0.502655        1.003283
  2.000     0.508938        1.003318
  2.000     0.515221        1.003272
  2.000     0.521504        1.003315
  2.000     0.527788        1.003266
  2.000     0.534071        1.003302
  2.000     0.540354        1.003296
  2.000     0.546637        1.003266
  2.000     0.552920        1.003192
  2.000     0.559203        1.003242
  2.000     0.565487        1.003205
  2.000     0.578053        1.003047
  2.000     0.603186        1.003066
  2.000     0.628319        1.003032
  2.000     0.653451        1.002959
  2.000     0.678584        1.002672
  2.000     0.703717        1.002535
  2.000     0.728849        1.002135
  2.000     0.753982        1.001937
  2.000     0.779115        1.001790
  2.000     0.804248        1.001415
  2.000     0.829380        1.000941
  2.000     0.854513        1.000904
  2.000     0.879646        1.000811
  2.000     0.904779        1.000061
  2.000     0.929911        0.999487
  2.000     0.955044        0.999259
  2.000     0.980177        0.998939
  2.000     1.032568        0.998181
  2.000     1.089321        0.997259
  2.000     1.149193        0.996579
  2.000     1.212356        0.995618
  2.000     1.278990        0.994565
  2.000     1.349287        0.993425
  2.000     1.423448        0.992337
  2.000     1.501684        0.991144
  2.000     1.584221        0.925742
  2.000     1.671294        0.989107
  2.000     1.763153        0.987633
  2.000     1.860061        0.986905
  2.000     1.962295        0.985676
  2.000     2.070149        0.984904
  2.000     2.183930        0.983997
  2.000     2.303965        0.983605
  2.000     2.430597        0.983610
