# Simulation: FLAMINGO Jet (aka. L1000N1800 - HYDRO_JETS_published)
# Reference: Schaye et al. (2023) - arXiv:2306.04024
# Webpage: https://flamingo.strw.leidenuniv.nl/
#
# Matter power spectrum suppression
######################################################
#
# (0)  Redshift
#      Unit = dimensionless
# (1)  Fourier scale k
#      Unit = 3.240779e-25 cm**-1
#      Unit = 1.000000e-06 pc**-1
#      Unit = 1.000000e+00 Mpc**-1
# (2)  The shot-noise subtracted power
#      Unit = dimensionless
# 
#  (0)         (1)             (2)
#   z           k        P(k)/P(k)_DMO
  2.000     2.564190        0.983211
  2.000     2.705125        0.983287
  2.000     2.853806        0.983765
  2.000     3.010659        0.983850
  2.000     3.176133        0.982768
  2.000     3.350703        0.989008
  2.000     3.534867        0.989027
  2.000     3.729153        0.993507
  2.000     3.934118        0.996886
  2.000     4.150348        1.000645
  2.000     4.378463        1.005188
  2.000     4.619115        1.011401
  2.000     4.872995        1.014967
  2.000     5.140828        1.023143
  2.000     5.423383        1.029493
  2.000     5.721467        1.036959
  2.000     6.035935        1.048422
  2.000     6.367687        1.058946
  2.000     6.717673        1.070697
  2.000     7.086895        1.082530
  2.000     7.476411        1.096853
  2.000     7.887335        1.114422
  2.000     8.320846        1.133157
  2.000     8.778183        1.152267
  2.000     9.260656        1.169187
  2.000     9.769648        1.189329
  2.000    10.306615        1.210051
  2.000    10.873096        1.252940
  2.000    11.470712        1.293254
  2.000    12.101174        1.301834
  2.000    12.766289        1.338547
  2.000    13.467960        1.389263
  2.000    14.208197        1.444826
  2.000    14.989120        1.496654
  2.000    15.812964        1.540738
  2.000    16.682089        1.592012
  2.000    17.598983        1.649050
  2.000    18.566273        1.717858
  2.000    19.586727        1.797228
  2.000    20.663269        1.889118
  2.000    21.798980        1.983726
  2.000    22.997114        2.076093
  2.000    24.261100        2.203991
  2.000    25.594558        2.297757
  2.000    27.001307        2.444840
  2.000    28.485375        2.629533
  2.000    30.051011        2.744143
  2.000    31.702699        2.946465
  2.000    33.445169        3.136594
  2.000    35.283409        3.405622
  2.000    37.222685        3.765802
  2.000    39.268548        3.918485
  2.000    41.426858        4.007717
  2.000    43.703794        4.842676
  2.000    46.105878        5.265719
  2.000    48.639987        7.641016
  2.000    51.313377        6.502371
  2.000    54.133705        7.761272
  2.000    57.109045        5.573020
  2.000    60.247919        6.442097
  2.000    63.559314        6.774301
  2.000    67.052713        7.806287
  2.000    70.738118       10.143999
  2.000    74.626084        5.776405
  2.000    78.727744       10.467910
  2.000    83.054842       36.427236
  2.000    87.619770      156.661660
  2.000    92.435599       10.031401
  2.000    97.516119        6.500049
  2.000   102.875879       15.986687
  2.000   108.530227        6.100542
  2.000   114.495353       13.070673
  2.000   120.788340       51.609129
  2.000   127.427207       51.481886
  2.000   134.430964       10.404527
  2.000   141.819668        4.375277
  2.000   149.614476        3.039543
  2.000   157.837708       -2.360182
  2.000   166.512913       -0.727415
  2.000   175.664931        0.932888
  2.000   185.319969       31.536296
  2.000   195.505676        2.155422
  2.000   206.251218        0.854483
  2.000   217.587365       -0.767233
  2.000   229.546578        0.968184
  2.000   242.163104        0.492042
  2.000   255.473069       -3.050953
  2.000   269.514588        0.770351
  2.000   284.327867        2.201690
  2.000   299.955327        0.475244
  2.000   316.441715       -0.672808
  2.000   333.834242        3.499091
  2.000   352.182710        3.973562
  2.000   371.539663        0.419304
  2.000   391.960527        0.234320
  2.000   413.503780       -1.252463
  2.000   436.231111      -60.099210
  2.000   460.207600        1.747615
  2.000   485.501904        0.848330
  2.000   512.186454        1.573687
  2.000   540.337662        1.234930
  2.000   570.036139        1.409918
