# Simulation: FLAMINGO L1_m9 (aka. L1000N1800 - HYDRO_FIDUCIAL)
# Reference: Schaye et al. (2023) - arXiv:2306.04024
# Webpage: https://flamingo.strw.leidenuniv.nl/
#
# Matter power spectrum suppression
######################################################
#
# (0)  Redshift
#      Unit = dimensionless
# (1)  Fourier scale k
#      Unit = 3.240779e-25 cm**-1
#      Unit = 1.000000e-06 pc**-1
#      Unit = 1.000000e+00 Mpc**-1
# (2)  The shot-noise subtracted power
#      Unit = dimensionless
# 
#  (0)         (1)             (2)
#   z           k        P(k)/P(k)_DMO
  1.000     0.508938        0.993078
  1.000     0.515221        0.992881
  1.000     0.521504        0.992578
  1.000     0.527788        0.992338
  1.000     0.534071        0.992068
  1.000     0.540354        0.991760
  1.000     0.546637        0.991610
  1.000     0.552920        0.991379
  1.000     0.559203        0.991026
  1.000     0.565487        0.990759
  1.000     0.578053        0.990425
  1.000     0.603186        0.989209
  1.000     0.628319        0.988123
  1.000     0.653451        0.986779
  1.000     0.678584        0.985935
  1.000     0.703717        0.984315
  1.000     0.728849        0.982881
  1.000     0.753982        0.981769
  1.000     0.779115        0.980405
  1.000     0.804248        0.979016
  1.000     0.829380        0.977964
  1.000     0.854513        0.976128
  1.000     0.879646        0.975030
  1.000     0.904779        0.973709
  1.000     0.929911        0.972209
  1.000     0.955044        0.970412
  1.000     0.980177        0.968926
  1.000     1.032568        0.966254
  1.000     1.089321        0.962538
  1.000     1.149193        0.959987
  1.000     1.212356        0.956224
  1.000     1.278990        0.952140
  1.000     1.349287        0.947988
  1.000     1.423448        0.944162
  1.000     1.501684        0.939916
  1.000     1.584221        0.931934
  1.000     1.671294        0.932181
  1.000     1.763153        0.927503
  1.000     1.860061        0.923407
  1.000     1.962295        0.919171
  1.000     2.070149        0.915544
  1.000     2.183930        0.911638
  1.000     2.303965        0.908043
  1.000     2.430597        0.903993
  1.000     2.564190        0.900542
  1.000     2.705125        0.897495
  1.000     2.853806        0.892398
  1.000     3.010659        0.892235
  1.000     3.176133        0.887169
  1.000     3.350703        0.886397
  1.000     3.534867        0.885267
  1.000     3.729153        0.883665
  1.000     3.934118        0.884934
  1.000     4.150348        0.884997
  1.000     4.378463        0.885358
  1.000     4.619115        0.885283
  1.000     4.872995        0.889066
  1.000     5.140828        0.892527
  1.000     5.423383        0.898750
  1.000     5.721467        0.903814
  1.000     6.035935        0.909264
  1.000     6.367687        0.917743
  1.000     6.717673        0.925097
  1.000     7.086895        0.933981
  1.000     7.476411        0.945613
  1.000     7.887335        0.955458
  1.000     8.320846        0.969939
  1.000     8.778183        0.983828
  1.000     9.260656        0.991943
  1.000     9.769648        1.006966
  1.000    10.306615        1.037564
  1.000    10.873096        1.045798
  1.000    11.470712        1.090505
  1.000    12.101174        1.120235
  1.000    12.766289        1.142461
  1.000    13.467960        1.145558
  1.000    14.208197        1.193122
  1.000    14.989120        1.235808
  1.000    15.812964        1.278712
  1.000    16.682089        1.304741
  1.000    17.598983        1.358772
  1.000    18.566273        1.405564
  1.000    19.586727        1.478020
  1.000    20.663269        1.549645
  1.000    21.798980        1.619319
  1.000    22.997114        1.696833
  1.000    24.261100        1.810774
  1.000    25.594558        1.889962
  1.000    27.001307        2.025439
  1.000    28.485375        2.109342
  1.000    30.051011        2.277096
  1.000    31.702699        2.430292
  1.000    33.445169        2.613057
  1.000    35.283409        2.834858
  1.000    37.222685        2.959883
  1.000    39.268548        3.374602
  1.000    41.426858        3.784505
  1.000    43.703794        4.238896
  1.000    46.105878        4.127988
  1.000    48.639987        4.669985
  1.000    51.313377        5.095571
  1.000    54.133705        5.057423
  1.000    57.109045        5.695111
  1.000    60.247919        6.638658
  1.000    63.559314        6.704276
  1.000    67.052713        8.872473
  1.000    70.738118        9.378424
  1.000    74.626084        9.486799
  1.000    78.727744        9.249711
  1.000    83.054842       12.540996
  1.000    87.619770       12.879562
  1.000    92.435599       12.175785
  1.000    97.516119       13.492992
  1.000   102.875879       13.289803
  1.000   108.530227       12.303581
  1.000   114.495353       17.440188
  1.000   120.788340       14.595929
  1.000   127.427207       16.781736
  1.000   134.430964       13.399538
  1.000   141.819668       12.795057
  1.000   149.614476       13.778350
  1.000   157.837708       13.613211
  1.000   166.512913        9.313966
  1.000   175.664931      -39.207450
  1.000   185.319969       -8.710069
  1.000   195.505676        5.093596
  1.000   206.251218       14.691269
  1.000   217.587365        6.647780
  1.000   229.546578      -14.809975
  1.000   242.163104      -22.992332
  1.000   255.473069       -3.544195
  1.000   269.514588      -11.490207
  1.000   284.327867       16.918870
  1.000   299.955327       -1.160198
  1.000   316.441715        9.945007
  1.000   333.834242        4.228502
  1.000   352.182710       -8.769398
  1.000   371.539663       10.413941
  1.000   391.960527       -3.275347
  1.000   413.503780       -4.538724
  1.000   436.231111       -9.201797
  1.000   460.207600        1.687298
  1.000   485.501904        2.348918
  1.000   512.186454        0.718879
  1.000   540.337662        1.710347
  1.000   570.036139        0.731317
