# Simulation: FLAMINGO L1_m9 (aka. L1000N1800 - HYDRO_FIDUCIAL)
# Reference: Schaye et al. (2023) - arXiv:2306.04024
# Webpage: https://flamingo.strw.leidenuniv.nl/
#
# Matter power spectrum suppression
######################################################
#
# (0)  Redshift
#      Unit = dimensionless
# (1)  Fourier scale k
#      Unit = 3.240779e-25 cm**-1
#      Unit = 1.000000e-06 pc**-1
#      Unit = 1.000000e+00 Mpc**-1
# (2)  The shot-noise subtracted power
#      Unit = dimensionless
# 
#  (0)         (1)             (2)
#   z           k        P(k)/P(k)_DMO
  1.000     0.008018        0.999855
  1.000     0.014017        0.999859
  1.000     0.019693        0.999857
  1.000     0.025513        0.999858
  1.000     0.032029        0.999867
  1.000     0.038122        0.999865
  1.000     0.043982        0.999872
  1.000     0.050265        0.999875
  1.000     0.056549        0.999883
  1.000     0.062832        0.999882
  1.000     0.069115        0.999883
  1.000     0.075398        0.999896
  1.000     0.081681        0.999894
  1.000     0.087965        0.999892
  1.000     0.094248        0.999893
  1.000     0.100531        0.999897
  1.000     0.106814        0.999886
  1.000     0.113097        0.999889
  1.000     0.119381        0.999892
  1.000     0.125664        0.999878
  1.000     0.131947        0.999869
  1.000     0.138230        0.999874
  1.000     0.144513        0.999845
  1.000     0.150796        0.999845
  1.000     0.157080        0.999820
  1.000     0.163363        0.999811
  1.000     0.169646        0.999787
  1.000     0.175929        0.999772
  1.000     0.182212        0.999759
  1.000     0.188496        0.999718
  1.000     0.194779        0.999696
  1.000     0.201062        0.999661
  1.000     0.207345        0.999626
  1.000     0.213628        0.999599
  1.000     0.219911        0.999523
  1.000     0.226195        0.999482
  1.000     0.232478        0.999450
  1.000     0.238761        0.999412
  1.000     0.245044        0.999346
  1.000     0.251327        0.999253
  1.000     0.257611        0.999201
  1.000     0.263894        0.999141
  1.000     0.270177        0.999079
  1.000     0.276460        0.998992
  1.000     0.282743        0.998893
  1.000     0.289027        0.998822
  1.000     0.295310        0.998714
  1.000     0.301593        0.998636
  1.000     0.307876        0.998546
  1.000     0.314159        0.998434
  1.000     0.320442        0.998320
  1.000     0.326726        0.998208
  1.000     0.333009        0.998108
  1.000     0.339292        0.997944
  1.000     0.345575        0.997892
  1.000     0.351858        0.997740
  1.000     0.358142        0.997598
  1.000     0.364425        0.997437
  1.000     0.370708        0.997299
  1.000     0.376991        0.997250
  1.000     0.383274        0.997032
  1.000     0.389557        0.996853
  1.000     0.395841        0.996725
  1.000     0.402124        0.996572
  1.000     0.408407        0.996337
  1.000     0.414690        0.996175
  1.000     0.420973        0.996027
  1.000     0.427257        0.995819
  1.000     0.433540        0.995684
  1.000     0.439823        0.995508
  1.000     0.446106        0.995284
  1.000     0.452389        0.995029
  1.000     0.458673        0.994819
  1.000     0.464956        0.994661
  1.000     0.471239        0.994438
  1.000     0.477522        0.994263
  1.000     0.483805        0.993948
  1.000     0.490088        0.993790
  1.000     0.496372        0.993575
  1.000     0.502655        0.993243
