# Simulation: FLAMINGO Jet (aka. L1000N1800 - HYDRO_JETS_published)
# Reference: Schaye et al. (2023) - arXiv:2306.04024
# Webpage: https://flamingo.strw.leidenuniv.nl/
#
# Matter power spectrum suppression
######################################################
#
# (0)  Redshift
#      Unit = dimensionless
# (1)  Fourier scale k
#      Unit = 3.240779e-25 cm**-1
#      Unit = 1.000000e-06 pc**-1
#      Unit = 1.000000e+00 Mpc**-1
# (2)  The shot-noise subtracted power
#      Unit = dimensionless
# 
#  (0)         (1)             (2)
#   z           k        P(k)/P(k)_DMO
  1.000     0.008018        0.998675
  1.000     0.014017        0.998712
  1.000     0.019693        0.998684
  1.000     0.025513        0.998693
  1.000     0.032029        0.998710
  1.000     0.038122        0.998692
  1.000     0.043982        0.998724
  1.000     0.050265        0.998715
  1.000     0.056549        0.998726
  1.000     0.062832        0.998711
  1.000     0.069115        0.998716
  1.000     0.075398        0.998730
  1.000     0.081681        0.998755
  1.000     0.087965        0.998700
  1.000     0.094248        0.998802
  1.000     0.100531        0.998704
  1.000     0.106814        0.998634
  1.000     0.113097        0.998601
  1.000     0.119381        0.998675
  1.000     0.125664        0.998668
  1.000     0.131947        0.998626
  1.000     0.138230        0.998684
  1.000     0.144513        0.998561
  1.000     0.150796        0.998548
  1.000     0.157080        0.998578
  1.000     0.163363        0.998505
  1.000     0.169646        0.998530
  1.000     0.175929        0.998472
  1.000     0.182212        0.998512
  1.000     0.188496        0.998368
  1.000     0.194779        0.998383
  1.000     0.201062        0.998335
  1.000     0.207345        0.998328
  1.000     0.213628        0.998329
  1.000     0.219911        0.998260
  1.000     0.226195        0.998154
  1.000     0.232478        0.998207
  1.000     0.238761        0.998078
  1.000     0.245044        0.998046
  1.000     0.251327        0.997994
  1.000     0.257611        0.997858
  1.000     0.263894        0.997876
  1.000     0.270177        0.997770
  1.000     0.276460        0.997742
  1.000     0.282743        0.997575
  1.000     0.289027        0.997539
  1.000     0.295310        0.997464
  1.000     0.301593        0.997366
  1.000     0.307876        0.997303
  1.000     0.314159        0.997225
  1.000     0.320442        0.997051
  1.000     0.326726        0.996910
  1.000     0.333009        0.996870
  1.000     0.339292        0.996731
  1.000     0.345575        0.996576
  1.000     0.351858        0.996621
  1.000     0.358142        0.996578
  1.000     0.364425        0.996380
  1.000     0.370708        0.996235
  1.000     0.376991        0.996044
  1.000     0.383274        0.995939
  1.000     0.389557        0.995807
  1.000     0.395841        0.995768
  1.000     0.402124        0.995549
  1.000     0.408407        0.995311
  1.000     0.414690        0.995226
  1.000     0.420973        0.995153
  1.000     0.427257        0.994990
  1.000     0.433540        0.994882
  1.000     0.439823        0.994638
  1.000     0.446106        0.994358
  1.000     0.452389        0.994214
  1.000     0.458673        0.994117
  1.000     0.464956        0.993928
  1.000     0.471239        0.993720
  1.000     0.477522        0.993727
  1.000     0.483805        0.993308
  1.000     0.490088        0.993275
  1.000     0.496372        0.993024
  1.000     0.502655        0.992756
  1.000     0.508938        0.992765
  1.000     0.515221        0.992439
  1.000     0.521504        0.992156
  1.000     0.527788        0.992001
  1.000     0.534071        0.991744
  1.000     0.540354        0.991559
  1.000     0.546637        0.991510
  1.000     0.552920        0.991178
  1.000     0.559203        0.990827
  1.000     0.565487        0.990739
  1.000     0.578053        0.990804
  1.000     0.603186        0.989560
  1.000     0.628319        0.988693
  1.000     0.653451        0.987746
  1.000     0.678584        0.986853
  1.000     0.703717        0.985862
  1.000     0.728849        0.984551
  1.000     0.753982        0.984045
  1.000     0.779115        0.982412
  1.000     0.804248        0.981117
  1.000     0.829380        0.980684
  1.000     0.854513        0.979128
  1.000     0.879646        0.978923
  1.000     0.904779        0.977591
  1.000     0.929911        0.976521
  1.000     0.955044        0.975290
  1.000     0.980177        0.974171
  1.000     1.032568        0.972148
  1.000     1.089321        0.969892
  1.000     1.149193        0.967691
  1.000     1.212356        0.965552
  1.000     1.278990        0.962812
  1.000     1.349287        0.960075
  1.000     1.423448        0.957591
  1.000     1.501684        0.955644
  1.000     1.584221        0.948301
  1.000     1.671294        0.950701
  1.000     1.763153        0.948042
  1.000     1.860061        0.945616
  1.000     1.962295        0.943150
  1.000     2.070149        0.941364
  1.000     2.183930        0.939601
  1.000     2.303965        0.937645
  1.000     2.430597        0.935230
  1.000     2.564190        0.934585
  1.000     2.705125        0.933538
  1.000     2.853806        0.930156
  1.000     3.010659        0.932229
  1.000     3.176133        0.928487
  1.000     3.350703        0.929653
  1.000     3.534867        0.927505
  1.000     3.729153        0.929416
  1.000     3.934118        0.931138
  1.000     4.150348        0.932269
  1.000     4.378463        0.932566
  1.000     4.619115        0.935385
  1.000     4.872995        0.936983
  1.000     5.140828        0.940921
  1.000     5.423383        0.946686
  1.000     5.721467        0.952463
  1.000     6.035935        0.958398
  1.000     6.367687        0.965703
  1.000     6.717673        0.971724
  1.000     7.086895        0.981536
  1.000     7.476411        0.993497
  1.000     7.887335        1.002069
  1.000     8.320846        1.016707
  1.000     8.778183        1.029464
  1.000     9.260656        1.039684
  1.000     9.769648        1.043187
  1.000    10.306615        1.080707
  1.000    10.873096        1.090102
  1.000    11.470712        1.125311
  1.000    12.101174        1.175325
  1.000    12.766289        1.185835
  1.000    13.467960        1.201809
  1.000    14.208197        1.231088
  1.000    14.989120        1.279037
  1.000    15.812964        1.312983
  1.000    16.682089        1.340495
  1.000    17.598983        1.398977
  1.000    18.566273        1.452819
  1.000    19.586727        1.514039
  1.000    20.663269        1.587166
  1.000    21.798980        1.664382
  1.000    22.997114        1.730916
  1.000    24.261100        1.830391
  1.000    25.594558        1.906413
  1.000    27.001307        2.032787
  1.000    28.485375        2.112201
  1.000    30.051011        2.271509
  1.000    31.702699        2.415334
  1.000    33.445169        2.584687
  1.000    35.283409        2.793275
  1.000    37.222685        2.965699
  1.000    39.268548        3.184836
  1.000    41.426858        3.638907
  1.000    43.703794        4.005281
  1.000    46.105878        4.021406
  1.000    48.639987        4.431017
  1.000    51.313377        4.985564
  1.000    54.133705        4.786736
  1.000    57.109045        5.382470
  1.000    60.247919        6.306751
  1.000    63.559314        6.169249
  1.000    67.052713        8.232793
  1.000    70.738118        8.739375
  1.000    74.626084        8.808316
  1.000    78.727744        8.457192
  1.000    83.054842       11.603911
  1.000    87.619770       11.469512
  1.000    92.435599       10.492218
  1.000    97.516119       11.952501
  1.000   102.875879       11.473228
  1.000   108.530227       10.731335
  1.000   114.495353       14.459984
  1.000   120.788340       12.741935
  1.000   127.427207       13.960583
  1.000   134.430964       11.367552
  1.000   141.819668       10.618761
  1.000   149.614476       11.521405
  1.000   157.837708       10.001495
  1.000   166.512913        7.904135
  1.000   175.664931      -29.985700
  1.000   185.319969       -4.707585
  1.000   195.505676        3.510509
  1.000   206.251218        9.714764
  1.000   217.587365        5.084705
  1.000   229.546578      -12.126747
  1.000   242.163104      -20.213459
  1.000   255.473069       -2.033372
  1.000   269.514588      -10.094799
  1.000   284.327867       13.409245
  1.000   299.955327       -1.470440
  1.000   316.441715        4.485659
  1.000   333.834242        2.409703
  1.000   352.182710       -5.054442
  1.000   371.539663        5.051385
  1.000   391.960527       -5.871154
  1.000   413.503780       -8.355122
  1.000   436.231111       -5.000869
  1.000   460.207600        1.615810
  1.000   485.501904        1.178977
  1.000   512.186454        0.827891
  1.000   540.337662        0.672749
  1.000   570.036139        0.337115
